orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
205455403_220612020_D,28,WS30,Buy,2022-07-05 02:04:06,2022-07-05 11:09:01,31161.0,31101.0,0.1,-5.79,None,sl,[sl],31101.0,31641.0,0,-0.07
205761586_220612020_D,28,WS30,Buy,2022-07-07 15:46:28,2022-07-07 17:08:10,31247.0,31187.0,0.1,-5.89,None,sl,[sl],31187.0,31727.0,0,-0.07
205967228_220612020_D,28,WS30,Buy,2022-07-18 01:00:01,2022-07-18 03:54:23,31330.0,31270.0,0.1,-5.95,None,sl,[sl],31270.0,31810.0,0,-0.07
206368573_220612020_D,28,WS30,Buy,2022-07-19 19:31:27,2022-07-20 10:46:09,31651.0,31834.0,0.1,17.86,None,sl,[sl],31834.0,32131.0,-0.26,-0.07
206448066_220612020_D,28,WS30,Buy,2022-07-20 17:36:28,2022-07-20 17:41:10,31875.0,31815.0,0.1,-5.88,None,sl,[sl],31815.0,32355.0,0,-0.07
206474939_220612020_D,28,WS30,Buy,2022-07-21 22:55:40,2022-07-22 03:02:33,32013.0,31953.0,0.1,-5.87,None,sl,[sl],31953.0,32493.0,-0.26,-0.07
206703472_220612020_D,28,WS30,Buy,2022-07-27 10:24:14,2022-07-27 13:24:31,31949.0,31889.0,0.1,-5.92,None,sl,[sl],31889.0,32429.0,0,-0.07
206916762_220612020_D,28,WS30,Buy,2022-07-28 18:24:35,2022-07-29 16:20:35,32355.0,32508.0,0.1,15.07,None,sl,[sl],32508.0,32835.0,-0.26,-0.07
207166055_220612020_D,28,WS30,Buy,2022-08-03 19:47:09,2022-08-04 16:17:26,32830.0,32770.0,0.1,-5.89,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32770.0,33310.0,-0.27,-0.07
207398706_220612020_D,28,WS30,Buy,2022-08-08 09:02:06,2022-08-08 18:38:40,32835.0,32959.0,0.1,12.14,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32959.0,33315.0,0,-0.07
207501256_220612020_D,28,WS30,Buy,2022-08-10 15:30:01,2022-08-11 06:54:21,32928.0,33408.0,0.1,46.66,None,WS30_H1_220612020tp,WS30_H1_220612020[tp],33255.0,33408.0,-0.3,-0.07
207701065_220612020_D,28,WS30,Buy,2022-08-12 21:33:16,2022-08-15 10:20:32,33663.0,33638.0,0.1,-2.44,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33638.0,34143.0,-0.9,-0.07
207809646_220612020_D,28,WS30,Buy,2022-08-16 05:51:22,2022-08-16 08:11:20,33968.0,33908.0,0.1,-5.91,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33908.0,34448.0,0,-0.07
208292865_220612020_D,28,WS30,Buy,2022-08-26 15:30:44,2022-08-26 17:01:09,33313.0,33253.0,0.1,-5.97,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33253.0,33793.0,0,-0.07
208403899_220612020_D,28,WS30,Buy,2022-08-30 11:02:15,2022-08-30 14:55:54,32332.0,32272.0,0.1,-5.99,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32272.0,32812.0,0,-0.07
208539874_220612020_D,28,WS30,Buy,2022-09-02 11:30:17,2022-09-02 14:11:55,31671.0,31611.0,0.1,-6.01,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],31611.0,32151.0,0,-0.07
208957966_220612020_D,28,WS30,Buy,2022-09-07 21:02:26,2022-09-07 21:19:21,31597.0,31537.0,0.1,-6.01,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],31537.0,32077.0,0,-0.07
209002176_220612020_D,28,WS30,Buy,2022-09-08 09:11:34,2022-09-08 10:19:10,31650.0,31590.0,0.1,-6.01,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],31590.0,32130.0,0,-0.07
209247186_220612020_D,28,WS30,Buy,2022-09-13 09:23:58,2022-09-13 15:30:06,32528.0,32485.0,0.1,-4.25,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32485.0,33008.0,0,-0.07
209336859_220612020_D,28,WS30,Buy,2022-09-19 04:00:42,2022-09-19 05:15:54,30908.0,30848.0,0.1,-6,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],30848.0,31388.0,0,-0.07
209701574_220612020_D,28,WS30,Buy,2022-09-27 16:41:02,2022-09-27 16:45:33,29682.0,29622.0,0.1,-6.23,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],29622.0,30162.0,0,-0.07
210300552_220612020_D,28,WS30,Buy,2022-09-28 20:09:37,2022-09-28 20:30:24,29681.0,29621.0,0.1,-6.16,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],29621.0,30161.0,0,-0.07
210385484_220612020_D,28,WS30,Buy,2022-10-03 21:06:51,2022-10-04 13:31:53,29511.0,29991.0,0.1,48.48,None,WS30_H1_220612020tp,WS30_H1_220612020[tp],29669.0,29991.0,-0.33,-0.07
210916395_220612020_D,28,WS30,Buy,2022-10-05 20:22:10,2022-10-05 20:25:59,30371.0,30311.0,0.1,-6.08,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],30311.0,30851.0,0,-0.07
211092577_220612020_D,28,WS30,Buy,2022-10-11 18:46:35,2022-10-11 19:02:16,29511.0,29451.0,0.1,-6.15,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],29451.0,29991.0,0,-0.07
211567642_220612020_D,28,WS30,Buy,2022-10-13 14:37:01,2022-10-13 15:30:13,29502.0,29442.0,0.1,-6.21,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],29442.0,29982.0,0,-0.07
211712178_220612020_D,28,WS30,Buy,2022-10-14 04:43:31,2022-10-14 10:24:58,30193.0,30133.0,0.1,-6.15,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],30133.0,30673.0,0,-0.07
211796230_220612020_D,28,WS30,Buy,2022-10-18 06:33:56,2022-10-18 12:41:18,30459.0,30437.0,0.1,-2.23,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],30437.0,30939.0,0,-0.07
211971396_220612020_D,28,WS30,Buy,2022-10-20 17:19:29,2022-10-20 17:31:53,30810.0,30750.0,0.1,-6.1,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],30750.0,31290.0,0,-0.07
212068759_220612020_D,28,WS30,Buy,2022-10-21 19:01:10,2022-10-21 19:10:17,30845.0,30785.0,0.1,-6.09,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],30785.0,31325.0,0,-0.07
212192827_220612020_D,28,WS30,Buy,2022-10-24 13:01:06,2022-10-24 13:08:46,31163.0,31103.0,0.1,-6.11,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],31103.0,31643.0,0,-0.07
212231382_220612020_D,28,WS30,Buy,2022-10-25 16:52:41,2022-10-26 17:46:08,31630.0,32110.0,0.1,47.85,None,WS30_H1_220612020tp,WS30_H1_220612020[tp],31699.0,32110.0,-0.4,-0.07
212383327_220612020_D,28,WS30,Buy,2022-10-27 15:30:24,2022-10-27 15:38:30,32202.0,32142.0,0.1,-5.99,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32142.0,32682.0,0,-0.07
212437824_220612020_D,28,WS30,Buy,2022-10-28 16:39:30,2022-10-28 17:11:51,32415.0,32355.0,0.1,-6.03,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32355.0,32895.0,0,-0.07
212510613_220612020_D,28,WS30,Buy,2022-11-01 09:09:27,2022-11-01 10:25:51,32945.0,32885.0,0.1,-6.05,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32885.0,33425.0,0,-0.07
212624882_220612020_D,28,WS30,Buy,2022-11-02 21:02:01,2022-11-02 21:02:48,33031.0,32971.0,0.1,-6.04,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32971.0,33511.0,0,-0.07
212682724_220612020_D,28,WS30,Buy,2022-11-07 13:35:33,2022-11-07 14:43:29,32640.0,32580.0,0.1,-6.01,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],32580.0,33120.0,0,-0.07
212890220_220612020_D,28,WS30,Buy,2022-11-08 11:38:49,2022-11-08 20:27:05,32924.0,33181.0,0.1,25.51,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33181.0,33404.0,0,-0.07
213150433_220612020_D,28,WS30,Buy,2022-11-14 20:28:48,2022-11-14 21:05:45,33995.0,33935.0,0.1,-5.8,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33935.0,34475.0,0,-0.07
213202359_220612020_D,28,WS30,Buy,2022-11-15 15:32:41,2022-11-15 15:43:49,33999.0,33939.0,0.1,-5.74,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33939.0,34479.0,0,-0.07
213435560_220612020_D,28,WS30,Buy,2022-11-18 22:05:26,2022-11-21 03:14:22,33723.0,33663.0,0.1,-5.82,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33663.0,34203.0,-1.33,-0.07
213483173_220612020_D,28,WS30,Buy,2022-11-21 16:30:23,2022-11-21 16:36:59,33847.0,33787.0,0.1,-5.85,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33787.0,34327.0,0,-0.07
213510443_220612020_D,28,WS30,Buy,2022-11-22 16:01:01,2022-11-23 15:46:44,33895.0,34063.0,0.1,16.28,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],34063.0,34375.0,-0.46,-0.07
213669916_220612020_D,28,WS30,Buy,2022-11-25 14:27:22,2022-11-25 15:31:32,34306.0,34246.0,0.1,-5.79,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],34246.0,34786.0,0,-0.07
213770523_220612020_D,28,WS30,Buy,2022-11-30 20:38:30,2022-11-30 20:43:29,33998.0,33938.0,0.1,-5.79,None,WS30_H1_220612020sl,WS30_H1_220612020[sl],33938.0,34478.0,0,-0.07
