orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
230503189_231119001_D,58,EURUSD,Sell,2023-11-22 08:29:17,2023-11-22 11:09:27,1.08976,1.08976,0.3,0,None,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.08976,1.08663,0,-1.5
230964093_231119001_D,58,EURUSD,Sell,2023-12-04 16:15:12,2023-12-04 21:58:38,1.08287,1.08287,0.3,0,None,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.08287,1.07938,0,-1.5
231085393_231119001_D,58,EURUSD,Sell,2023-12-06 14:02:10,2023-12-07 09:41:34,1.07782,1.07782,0.3,0,None,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.07782,1.07486,0.84,-1.5
232123591_231119001_D,58,EURUSD,Sell,2024-01-05 15:30:05,2024-01-05 22:00:01,1.0893,1.0945,0.3,-142.53,None,EURUSD_H1_231119001,EURUSD_H1_231119001,1.14377,1.08679,0,-1.5
232275237_231119001_D,58,EURUSD,Sell,2024-01-09 21:15:02,2024-01-12 22:00:01,1.09226,1.09562,0.3,-92,None,EURUSD_H1_231119001,EURUSD_H1_231119001,1.14687,1.08898,1.48,-1.5
232658562_231119001_D,58,EURUSD,Sell,2024-01-17 16:00:59,2024-01-17 17:06:45,1.08621,1.08621,0.3,0,None,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.08621,1.08294,0,-1.5
232699523_231119001_D,58,EURUSD,Sell,2024-01-18 15:30:00,2024-01-18 16:10:25,1.08621,1.08621,0.3,0,None,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.08621,1.08342,0,-1.5
232807986_231119001_D,58,EURUSD,Sell,2024-01-23 13:27:01,2024-01-23 17:23:53,1.08633,1.08409,0.3,61.99,None,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.08633,1.08409,0,-1.5
232956041_231119001_D,58,EURUSD,Sell,2024-01-25 21:23:56,2024-01-26 22:00:00,1.08216,1.08588,0.3,-102.77,None,EURUSD_H1_231119001,EURUSD_H1_231119001,1.13627,1.07857,0.17,-1.5
233137192_231119001_D,58,EURUSD,Sell,2024-01-30 09:02:01,2024-01-31 23:20:02,1.08129,1.08129,0.3,0,None,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.08129,1.07901,0.64,-1.5
233528494_231119001_D,58,EURUSD,Sell,2024-02-08 15:42:44,2024-02-09 22:00:19,1.07481,1.07826,0.3,-95.99,None,EURUSD_H1_231119001,EURUSD_H1_231119001,1.12855,1.07292,0.33,-1.5
233673968_231119001_D,58,EURUSD,Sell,2024-02-13 15:30:01,2024-02-13 15:31:26,1.07559,1.07353,0.3,57.57,None,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.12937,1.07353,0,-1.5
234125013_231119001_D,58,EURUSD,Sell,2024-02-28 10:46:24,2024-02-28 11:37:42,1.08127,1.07969,0.3,43.9,None,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.13533,1.07969,0,-1.5
237266528_58,58,EURUSD,Sell,2024-05-21 06:10:15,2024-05-22 13:29:14,1.08544,1.08397,0.3,40.68,116835.5,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.08544,1.08397,0.44,-1.5
237503630_58,58,EURUSD,Sell,2024-05-29 11:02:55,2024-05-29 17:23:00,1.08406,1.08248,0.3,43.79,116460.55,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.13826,1.08248,0,-1.5
237928599_58,58,EURUSD,Sell,2024-06-05 19:04:06,2024-06-07 15:31:07,1.08589,1.08422,0.3,46.21,116531.28,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.14018,1.08422,1.11,-1.5
238102538_58,58,EURUSD,Sell,2024-06-11 14:12:44,2024-06-11 18:56:57,1.07327,1.07327,0.3,0,116463.24,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.07327,1.07139,0,-1.5
238333545_58,58,EURUSD,Sell,2024-06-20 10:59:09,2024-06-20 12:15:12,1.07248,1.07248,0.3,0,117045.98,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.07248,1.0711,0,-1.5
238125302_58,58,EURUSD,Sell,2024-06-14 08:51:15,2024-06-14 10:15:56,1.07327,1.07131,0.3,54.89,117045.98,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.07327,1.07131,0,-1.5
238475703_58,58,EURUSD,Sell,2024-06-26 13:18:23,2024-06-26 16:31:55,1.06836,1.06681,0.3,43.59,115927.77,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.06836,1.06681,0,-1.5
239399001_58,58,EURUSD,Sell,2024-08-01 10:57:34,2024-08-01 12:59:42,1.0802,1.07786,0.3,65.13,116211.13,EURUSD_H1_231119001tp,EURUSD_H1_231119001[tp],1.0802,1.07786,0,-1.5
240159591_58,58,EURUSD,Sell,2024-08-30 16:07:57,2024-08-30 20:11:15,1.10557,1.10557,0.3,0,118314.62,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.10557,1.10276,0,-1.5
240217534_58,58,EURUSD,Sell,2024-09-03 12:07:12,2024-09-03 14:38:08,1.10416,1.10416,0.3,0,118216.45,EURUSD_H1_231119001sl,EURUSD_H1_231119001[sl],1.10416,1.10242,0,-1.5
