orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
205455369_220612015_D,24,WS30,Buy,2022-07-01 22:10:41,2022-07-04 02:31:07,31074.0,31019.0,0.1,-5.27,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31019.0,31539.0,-0.59,-0.07
205619144_220612015_D,24,WS30,Buy,2022-07-05 02:04:06,2022-07-05 11:08:29,31161.0,31106.0,0.1,-5.31,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31106.0,31626.0,0,-0.07
205761524_220612015_D,24,WS30,Buy,2022-07-07 15:46:28,2022-07-07 17:08:07,31247.0,31192.0,0.1,-5.4,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31192.0,31712.0,0,-0.07
205906985_220612015_D,24,WS30,Buy,2022-07-08 13:20:24,2022-07-08 13:55:10,31442.0,31387.0,0.1,-5.42,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31387.0,31907.0,0,-0.07
205967210_220612015_D,24,WS30,Buy,2022-07-18 01:00:01,2022-07-18 03:50:08,31330.0,31275.0,0.1,-5.45,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31275.0,31795.0,0,-0.07
206368617_220612015_D,24,WS30,Buy,2022-07-19 19:31:27,2022-07-21 17:14:14,31651.0,31596.0,0.1,-5.4,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31596.0,32116.0,-0.52,-0.07
206605662_220612015_D,24,WS30,Buy,2022-07-22 10:15:00,2022-07-22 10:33:49,32057.0,32002.0,0.1,-5.42,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],32002.0,32522.0,0,-0.07
206703448_220612015_D,24,WS30,Buy,2022-07-27 16:18:38,2022-07-27 16:28:14,31949.0,31894.0,0.1,-5.42,None,WS30_H1_20220612015sl,WS30_H1_20220612015[sl],31894.0,32414.0,0,-0.07
206916761_220612015_D,24,WS30,Buy,2022-07-28 18:24:35,2022-07-29 21:35:34,32355.0,32820.0,0.1,45.55,None,WS30_H1_20220612015tp,WS30_H1_20220612015[tp],32355.0,32820.0,-0.26,-0.07
207166015_220612015_D,24,WS30,Buy,2022-08-03 19:47:09,2022-08-04 01:00:01,32830.0,32775.0,0.1,-5.41,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],32775.0,33295.0,-0.27,-0.07
207305897_220612015_D,24,WS30,Buy,2022-08-08 09:02:06,2022-08-08 21:53:09,32835.0,32780.0,0.1,-5.4,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],32780.0,33300.0,0,-0.07
207501195_220612015_D,24,WS30,Buy,2022-08-10 15:30:01,2022-08-11 03:55:07,32928.0,33393.0,0.1,45.15,None,WS30_H1_220612015tp,WS30_H1_220612015[tp],32928.0,33393.0,-0.3,-0.07
207701072_220612015_D,24,WS30,Buy,2022-08-12 21:33:16,2022-08-15 12:24:36,33663.0,33608.0,0.1,-5.39,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],33608.0,34128.0,-0.9,-0.07
207809650_220612015_D,24,WS30,Buy,2022-08-16 05:51:22,2022-08-16 06:45:25,33968.0,33913.0,0.1,-5.41,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],33913.0,34433.0,0,-0.07
207909137_220612015_D,24,WS30,Buy,2022-08-26 15:30:44,2022-08-26 15:44:11,33313.0,33258.0,0.1,-5.49,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],33258.0,33778.0,0,-0.07
208403854_220612015_D,24,WS30,Buy,2022-08-30 11:02:15,2022-08-30 14:54:05,32332.0,32277.0,0.1,-5.49,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],32277.0,32797.0,0,-0.07
208539855_220612015_D,24,WS30,Buy,2022-09-02 11:30:17,2022-09-02 13:32:33,31671.0,31616.0,0.1,-5.5,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],31616.0,32136.0,0,-0.07
208957958_220612015_D,24,WS30,Buy,2022-09-07 21:02:26,2022-09-07 21:18:01,31597.0,31542.0,0.1,-5.51,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],31542.0,32062.0,0,-0.07
209002154_220612015_D,24,WS30,Buy,2022-09-08 09:11:34,2022-09-08 10:18:20,31650.0,31595.0,0.1,-5.51,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],31595.0,32115.0,0,-0.07
209247184_220612015_D,24,WS30,Buy,2022-09-13 09:23:58,2022-09-13 15:30:07,32528.0,32473.0,0.1,-5.44,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],32473.0,32993.0,0,-0.07
209336908_220612015_D,24,WS30,Buy,2022-09-19 04:00:42,2022-09-19 05:15:05,30908.0,30853.0,0.1,-5.5,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],30853.0,31373.0,0,-0.07
209701532_220612015_D,24,WS30,Buy,2022-09-27 16:41:02,2022-09-27 16:44:19,29682.0,29627.0,0.1,-5.71,None,WS30_H1_220612015sl,WS30_H1_220612015[sl],29627.0,30147.0,0,-0.07
