orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
0_220701003_B,150,XAUUSD_M1_2,Buy,2012-05-28 23:27:00,2012-05-29 07:30:00,1574.13,1574.13,0.3,-2.36,None,MoveSL2BE,,None,None,None,None
1_220701003_B,150,XAUUSD_M1_2,Buy,2012-05-31 16:45:00,2012-05-31 16:54:00,1569.45,1565.08,0.3,-133.45,None,SL,,None,None,None,None
10_220701003_B,150,XAUUSD_M1_2,Buy,2012-07-17 04:21:00,2012-07-17 09:31:00,1594.85,1590.48,0.3,-133.49,None,SL,,None,None,None,None
100_220701003_B,150,XAUUSD_M1_2,Buy,2013-06-12 17:46:00,2013-06-12 21:45:00,1387.57,1387.57,0.3,-2.08,None,MoveSL2BE,,None,None,None,None
101_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-01 02:19:00,2013-07-01 02:51:00,1244.69,1240.32,0.3,-132.97,None,SL,,None,None,None,None
102_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-02 10:01:00,2013-07-02 11:51:00,1261.63,1261.63,0.3,-1.89,None,MoveSL2BE,,None,None,None,None
103_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-10 23:48:00,2013-07-11 01:36:00,1260.22,1273.02,0.3,382.11,None,PT,,None,None,None,None
104_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-16 17:33:00,2013-07-16 18:40:00,1294.68,1290.31,0.3,-133.04,None,SL,,None,None,None,None
105_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-17 15:35:00,2013-07-17 15:48:00,1295.74,1291.37,0.3,-133.04,None,SL,,None,None,None,None
106_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-19 06:01:00,2013-07-19 11:00:00,1288.53,1288.53,0.3,-1.93,None,MoveSL2BE,,None,None,None,None
107_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-23 21:23:00,2013-07-24 07:34:00,1339.35,1339.35,0.3,-2.01,None,MoveSL2BE,,None,None,None,None
108_220701003_B,150,XAUUSD_M1_2,Buy,2013-07-31 21:59:00,2013-07-31 22:02:00,1330.06,1330.06,0.3,-2,None,MoveSL2BE,,None,None,None,None
109_220701003_B,150,XAUUSD_M1_2,Buy,2013-08-05 06:12:00,2013-08-05 09:48:00,1318.23,1313.86,0.3,-133.08,None,SL,,None,None,None,None
