orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
71773522_227,227,XAUUSD,Buy,2024-10-29 04:05:47,2024-10-29 05:51:40,2748.65,2751.25,0.05,13,3474.33,XAUUSD_H1_220701001sl,XAUUSD_H1_220701001[sl],2751.25,2773.15,0,0
71676713_227,227,XAUUSD,Buy,2024-10-15 19:07:53,2024-10-16 05:04:08,2666.55,2667.14,0.05,2.95,3474.33,XAUUSD_H1_220701001sl,XAUUSD_H1_220701001[sl],2667.14,2691.05,-2,0
71604937_227,227,XAUUSD,Buy,2024-10-10 16:02:55,2024-10-10 16:33:23,2624.04,2615.69,0.05,-41.75,3474.33,XAUUSD_H1_220701001sl,XAUUSD_H1_220701001[sl],2615.82,2648.54,0,0
71564848_227,227,XAUUSD,Buy,2024-10-04 05:42:22,2024-10-04 09:03:36,2663.13,2666.7,0.05,17.85,3474.33,XAUUSD_H1_220701001sl,XAUUSD_H1_220701001[sl],2666.7,2687.63,0,0
