orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
205595416_220610003_D,8,WS30,Buy,2022-07-05 02:05:07,2022-07-05 04:22:34,31174.0,31174.0,0.1,0,None,sl,[sl],31174.0,31489.0,0,-0.07
205745662_220610003_D,8,WS30,Buy,2022-07-06 22:33:19,2022-07-06 22:43:00,31215.0,31161.0,0.1,-5.3,None,sl,[sl],31161.0,31530.0,0,-0.07
205823900_220610003_D,8,WS30,Buy,2022-07-07 18:05:14,2022-07-07 18:20:56,31359.0,31305.0,0.1,-5.31,None,sl,[sl],31305.0,31674.0,0,-0.07
206292935_220610003_D,8,WS30,Buy,2022-07-18 08:39:22,2022-07-18 19:53:56,31398.0,31398.0,0.1,0,None,sl,[sl],31398.0,31713.0,0,-0.07
220117715_220610003_D,8,WS30,Buy,2023-04-13 21:58:44,2023-04-14 01:00:02,34082.0,34028.0,0.1,-4.89,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],34028.0,34397.0,-0.53,-0.06
220178687_220610003_D,8,WS30,Buy,2023-04-27 21:18:54,2023-04-27 23:10:00,33770.0,33770.0,0.1,0,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],33770.0,34085.0,0,-0.06
220784835_220610003_D,8,WS30,Buy,2023-04-28 17:09:10,2023-04-28 17:38:09,33974.0,33920.0,0.1,-4.9,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],33920.0,34289.0,0,-0.06
220858467_220610003_D,8,WS30,Buy,2023-05-01 17:45:56,2023-05-01 18:15:50,34247.0,34193.0,0.1,-4.92,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],34193.0,34562.0,0,-0.06
220908468_220610003_D,8,WS30,Buy,2023-05-05 16:43:11,2023-05-05 16:57:30,33593.0,33539.0,0.1,-4.91,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],33539.0,33908.0,0,-0.06
221176526_220610003_D,8,WS30,Buy,2023-05-19 01:07:37,2023-05-19 16:28:15,33598.0,33598.0,0.1,0,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],33598.0,33913.0,0,-0.06
221852039_220610003_D,8,WS30,Buy,2023-05-26 16:41:06,2023-05-30 17:29:11,32978.0,32978.0,0.1,0,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],32978.0,33293.0,-2.23,-0.07
222413090_220610003_D,8,WS30,Buy,2023-06-01 19:02:46,2023-06-01 20:41:05,33134.0,33080.0,0.1,-5.02,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],33080.0,33449.0,0,-0.07
222436434_220610003_D,8,WS30,Buy,2023-06-02 15:34:04,2023-06-02 18:00:38,33278.0,33593.0,0.1,29.37,None,WS30_H1_220610003tp,WS30_H1_220610003[tp],33278.0,33593.0,0,-0.07
224326171_220610003_D,8,WS30,Buy,2023-07-19 16:31:24,2023-07-19 17:54:52,35139.0,35139.0,4.91,0,None,WS30_H1_220610003sl,WS30_H1_220610003[sl],35139.0,35454.0,0,-3.06
