Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,k_ratio,ret_dd,numOptimisations (.KB_ES_60_KB_2503_001)
130775,2671,55.1853238487458,48.9610632721827,-66587.5,1.11001514259275,212.555871596912,0,0.418093525889845,1.96395719917402,1
193887.5,4934,53.8102959059587,39.2962099716255,-50100,1.14114767226004,416.738312735089,0,0.390098985578023,3.87000998003992,2
115362.5,2674,55.2356020942408,43.1422961854899,-67212.5,1.09559371892609,185.582143575307,0,0.470703320502635,1.71638460107867,3
89075,2621,55.055322396032,33.9851201831362,-67212.5,1.07605934464724,142.977528089888,0,0.377623742022884,1.32527431653338,4
99862.5,2661,55.0920706501315,37.5281848928974,-69737.5,1.0831823577185,153.93063583815,0,0.443684394833036,1.43197705682022,5
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,6
111175,4714,49.7242257106491,23.5840050912176,-60112.5,1.09623562254515,190.205303678358,0,0.559172888735991,1.84944894988563,7
109325,2661,55.2423900789177,41.0841788801203,-68587.5,1.0917858679568,172.097599370327,0,0.418448584965835,1.59394933479132,8
136350,5053,53.0773797743915,26.9839699188601,-53650,1.09264481059963,281.496774193548,0,0.551287770808055,2.54147250698975,9
87175,4948,53.6580436540016,17.6182295877122,-67587.5,1.06572424842145,132.283763277693,0,0.415320915691865,1.28980950619567,10
36212.5,2285,54.4420131291028,15.8479212253829,-82225,1.03609429119633,44.5144437615243,0,0.336034926780249,0.440407418668288,11
154200,4523,53.5485297369003,34.0924165376962,-54425,1.12412086087718,293.365041617122,0,0.445561155353407,2.83325677537896,12
162462.5,5085,53.8643067846608,31.9493608652901,-47000,1.11763161943723,358.933996133665,0,0.457833444339463,3.45664893617021,13
81662.5,4704,53.6777210884354,17.3602253401361,-68500,1.06619651234662,122.2263797942,0,0.427756748872171,1.19215328467153,14
93375,5204,53.9584934665642,17.9429285165258,-64287.5,1.06464733881437,149.161341853035,0,0.458434803635491,1.4524596538985,15
120512.5,2672,55.127245508982,45.1019835329341,-67587.5,1.10054753089639,192.39672720016,0,0.444455890938753,1.78305899759571,16
127912.5,4718,53.2428995337007,27.1115938957185,-43887.5,1.10405206161981,308.037326911499,0,0.366346463975885,2.91455425804614,17
64787.5,6301,51.8171718774798,10.2820980796699,-51412.5,1.04829391923371,143.176795580111,0,0.195662570516752,1.26015074155118,18
88337.5,6805,51.0213078618663,12.9812637766348,-50675,1.06468709095735,183.701585651157,0,0.626992055220663,1.74321657622102,19
95462.5,4178,52.0344662517951,22.8488511249402,-60925,1.08250240366437,163.253527148354,0,0.27012435054735,1.56688551497743,20
120512.5,2672,55.127245508982,45.1019835329341,-67587.5,1.10054753089639,192.39672720016,0,0.444455890938753,1.78305899759571,21
154600,7495,52.6751167444963,20.6270847231488,-50850,1.09402463129086,332.831001076426,0,0.299216155118748,3.04031465093412,22
130637.5,2671,55.147884687383,48.9095844253089,-66587.5,1.10990756028563,212.332385209265,0,0.417362145107339,1.96189224704336,23
195675,4756,53.8477712363331,41.1427670311186,-45600,1.15127999458817,467.702420077681,0,0.387046746508083,4.29111842105263,24
74500,6602,50.8633747349288,11.2844592547713,-41587.5,1.05596506878257,192.693178144197,0,0.667079853541221,1.79140366696724,25
150400,4850,52.5773195876289,31.0103092783505,-58962.5,1.11070728632813,274.139895192527,0,0.39395669301535,2.55077379690481,26
127487.5,2674,55.3103964098729,47.6767015706806,-66075,1.10667294216086,208.953083384552,0,0.445063618367594,1.92943624668937,27
69025,2521,54.5418484728282,27.3800079333598,-69325,1.06168591791595,106.891211769261,0,0.373201010266024,0.995672556797692,28
44962.5,4167,49.8200143988481,10.7901367890569,-64825,1.03955268192914,71.2559429477021,0,0.384440737529695,0.693598148862322,29
109575,2661,55.2799699361142,41.1781285231116,-68587.5,1.09199382929824,172.491145218418,0,0.419666589529175,1.5975943138327,30
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,31
113575,4622,49.9350930333189,24.5726958026828,-59687.5,1.09930380231046,195.734597156398,0,0.467882777144879,1.90282722513089,32
67675,2522,54.5598731165741,26.8338620142744,-69325,1.06045716965751,104.800619434766,0,0.365272303052236,0.976199062387306,33
12775,4695,50.3514376996805,2.7209797657082,-50062.5,1.01307005652608,26.9230769230769,0,0.254997159444934,0.25518102372035,34
142700,4551,52.5159305647111,31.3557459898923,-60637.5,1.11685945337291,248.552144567821,0,0.310870749739286,2.35332921047207,35
127487.5,2674,55.3103964098729,47.6767015706806,-66075,1.10667294216086,208.953083384552,0,0.445063618367594,1.92943624668937,36
142187.5,6921,52.5502095072966,20.54435775177,-51287.5,1.09740287541851,313.793103448276,0,0.301573131228173,2.7723616865708,37
112887.5,5089,52.9573590096286,22.1826488504618,-51337.5,1.07731623375512,239.485547600106,0,0.495876464860654,2.19892865838812,38
115362.5,2674,55.2356020942408,43.1422961854899,-67212.5,1.09559371892609,185.582143575307,0,0.470703320502635,1.71638460107867,39
105500,6726,52.5126375260184,15.6853999405293,-57162.5,1.07408382707922,206.256109481916,0,0.310986661219006,1.84561556964793,40
59625,4441,53.0511146138257,13.4260301733844,-52312.5,1.05180052995091,117.777777777778,0,0.478233329272036,1.13978494623656,41
75100,2597,54.7169811320755,28.9179822872545,-69325,1.06445176309042,115.228231683928,0,0.360780870479655,1.08330328164443,42
132162.5,4428,52.3486901535682,29.8469963866305,-54050,1.11035152173005,249.893642164973,0,0.322846816812872,2.44518963922294,43
114687.5,4452,52.6055705300988,25.7608939802336,-50400,1.09370180867469,246.77245831092,0,0.52909503849193,2.27554563492063,44
60525,2569,54.6126897625535,23.5597508758272,-75937.5,1.05236462738058,83.3390705679862,0,0.314554814268068,0.797037037037037,45
116975,4307,52.4262827954493,27.1592755978639,-58675,1.10022061815923,212.392192464821,0,0.283039974684389,1.9936088623775,46
127487.5,2674,55.3103964098729,47.6767015706806,-66075,1.10667294216086,208.953083384552,0,0.445063618367594,1.92943624668937,47
134250,4561,52.6200394650296,29.4343345757509,-56575,1.10564627188668,254.743833017078,0,0.416145397836412,2.37295625276182,48
159025,5136,53.8940809968847,30.9628115264798,-54262.5,1.11262194366247,302.760590195145,0,0.479284841837495,2.93066113798664,49
101062.5,2646,54.9130763416478,38.1944444444444,-65050,1.08548228502553,168.472598458012,0,0.421458912595501,1.55361260568793,50
119850,4966,52.6178010471204,24.1341119613371,-53800,1.08606513231123,235.519528371408,0,0.41437463417513,2.22769516728625,51
88462.5,5046,53.4284581847008,17.5312128418549,-73362.5,1.06467207047492,123.421695151727,0,0.393751999612143,1.20582722780712,52
91600,4839,53.5854515395743,18.929530894813,-68137.5,1.0717285122794,137.848006019564,0,0.395646205183848,1.34434048798386,53
114512.5,4106,52.7277155382367,27.889064783244,-51850,1.10120527182139,243.968042609854,0,0.391416544109757,2.20853423336548,54
60212.5,2570,54.7470817120623,23.4289883268482,-75937.5,1.05209651428139,82.9087779690189,0,0.313083452262008,0.792921810699588,55
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,56
106337.5,4583,53.1747763473707,23.2025965524765,-45350,1.08874863074435,247.009291521487,0,0.401385002796589,2.34481808158765,57
75550,2598,54.9268668206313,29.0800615858353,-70087.5,1.06468045032319,114.059256463484,0,0.37694284937302,1.07793829142144,58
136037.5,4674,52.6101839965768,29.1051561831408,-63487.5,1.10430723815366,232.642154766994,0,0.418317236197029,2.14274463477062,59
89325,2621,55.0934757726059,34.0805036245708,-67212.5,1.07627118644068,143.378812199037,0,0.378794799511537,1.32899386274874,60
60525,2569,54.6126897625535,23.5597508758272,-75937.5,1.05236462738058,83.3390705679862,0,0.314554814268068,0.797037037037037,61
60212.5,2570,54.7470817120623,23.4289883268482,-75937.5,1.05209651428139,82.9087779690189,0,0.313083452262008,0.792921810699588,62
123637.5,2667,55.2680914885639,46.3582677165354,-67175,1.10410811834917,199.054135640974,0,0.42618095856051,1.8405284704131,63
163825,4651,53.49387228553,35.2236078262739,-47362.5,1.1282525516445,360.054945054945,0,0.412112839463506,3.45896014779625,64
89075,2621,55.055322396032,33.9851201831362,-67212.5,1.07605934464724,142.977528089888,0,0.377623742022884,1.32527431653338,65
145875,4585,52.6717557251908,31.8157033805889,-45650,1.11689638592836,349.925037481259,0,0.448220582086904,3.19550930996714,66
74700,2598,54.8498845265589,28.7528868360277,-69325,1.06410847806731,114.614499424626,0,0.358879751555112,1.07753335737468,67
177187.5,5003,53.7677393563862,35.4162502498501,-46362.5,1.124808494902,418.635558180744,0,0.441264955364253,3.82178484766784,68
48062.5,3808,52.3897058823529,12.6214548319328,-62950,1.04464078391306,79.360165118679,0,0.359582389716582,0.763502779984114,69
173600,5019,53.9549711097828,34.5885634588563,-50762.5,1.13005084793378,354.105048444671,0,0.454289044545197,3.41984732824427,70
127487.5,2674,55.3103964098729,47.6767015706806,-66075,1.10667294216086,208.953083384552,0,0.445063618367594,1.92943624668937,71
68700,2521,54.5021816739389,27.2510908369695,-69325,1.06139684525671,106.387921022067,0,0.371210406650618,0.990984493328525,72
33837.5,3525,51.4893617021277,9.59929078014184,-48800,1.03461902447758,71.5758857747224,0,0.369785455290032,0.693391393442623,73
128175,2673,55.181444070333,47.9517396184063,-66075,1.10727400169479,210.079901659496,0,0.44910648675309,1.93984108967083,74
33837.5,3393,51.6946654877689,9.97273798997937,-67375,1.03424198342926,51.0658366345972,0,0.285206931806421,0.502226345083488,75
60525,2569,54.6126897625535,23.5597508758272,-75937.5,1.05236462738058,83.3390705679862,0,0.314554814268068,0.797037037037037,76
95900,4312,52.2959183673469,22.2402597402597,-51600,1.08042097318602,201.100917431193,0,0.540287850008953,1.85852713178295,77
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,78
199775,4852,53.8746908491344,41.1737427864798,-51937.5,1.14968483951635,409.375,0,0.377335804623641,3.84645006016847,79
