Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EntryFinder)
2720,1424,51.0533707865169,1.91011235955056,-8295,1.03273854301447,35.6604392002622,0,1
10465,431,54.7563805104408,24.2807424593968,-5262.5,1.27534039334342,218.704284221526,0,2
2045,311,52.7331189710611,6.57556270096463,-3467.5,1.09225217097102,76.3059701492537,0,3
6195,1079,52.7340129749768,5.74142724745134,-8335,1.08899263781648,88.9766606822262,0,4
-4965,232,49.5689655172414,-21.4008620689655,-6782.5,0.759709618874773,-78.9662027833002,0,5
-5862.5,837,50.8960573476703,-7.00418160095579,-11485,0.908953253610809,-53.4899635036496,0,6
14300,773,57.0504527813713,18.4993531694696,-3995,1.26910048927362,379.56204379562,0,7
-2892.5,247,47.7732793522267,-11.7105263157895,-6055,0.847723085022374,-51.1946902654867,0,8
12965,984,54.8780487804878,13.1758130081301,-4860,1.20587534736006,295.330296127563,0,9
-1312.5,342,52.3391812865497,-3.83771929824561,-5057.5,0.94833694154694,-27.3865414710485,0,10
2005,301,54.1528239202658,6.66112956810631,-4967.5,1.07844287949922,44.1629955947137,0,11
-247.5,433,53.5796766743649,-0.571593533487298,-7595,0.993680178742419,-3.58695652173913,0,12
1037.5,232,54.7413793103448,4.47198275862069,-3687.5,1.05841779279279,33.9329517579722,0,13
5795,956,53.347280334728,6.06171548117155,-9247.5,1.08460780377414,64.103982300885,0,14
0,0,0,0,0,0,0,0,15
-2592.5,585,55.7264957264957,-4.43162393162393,-10980,0.950028912875867,-25.060415659739,0,16
3855,1011,56.379821958457,3.81305637982196,-12672.5,1.04186235916927,31.1389337641357,0,17
6147.5,437,53.7757437070938,14.0675057208238,-6705,1.15712460063898,94.2145593869732,0,18
13790,1787,54.6726357022944,7.71684387241186,-10627.5,1.09072517640093,133.526991043331,0,19
8775,922,54.6637744034707,9.51735357917571,-10400,1.08965975273322,88.4353741496599,0,20
13905,363,60.6060606060606,38.3057851239669,-3090,1.57883234467687,696.992481203008,0,21
-7270,290,48.9655172413793,-25.0689655172414,-8810,0.672559396464362,-84.7319347319347,0,22
6517.5,344,58.1395348837209,18.9462209302326,-3527.5,1.2479079497908,206.25,0,23
2067.5,415,55.9036144578313,4.98192771084337,-8260,1.05653154692734,26.2206721623335,0,24
