Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EntryFinder)
0,0,0,0,0,0,0,0,1
4960,183,60.1092896174863,27.103825136612,-1882.5,1.45203918888129,301.062215477997,0,2
-1415,75,50.6666666666667,-18.8666666666667,-3002.5,0.76436303080766,-51.9742883379247,0,3
2430,180,57.2222222222222,13.5,-2562.5,1.20377358490566,110.079275198188,0,4
955,101,49.5049504950495,9.45544554455446,-1325,1.22235157159488,80.9322033898305,0,5
377.5,109,53.2110091743119,3.46330275229358,-2917.5,1.06631532718489,15.8613445378151,0,6
0,0,0,0,0,0,0,0,7
2905,185,51.3513513513514,15.7027027027027,-1847.5,1.30683918669131,273.411764705882,0,8
2790,89,58.4269662921348,31.3483146067416,-1390,1.65647058823529,268.269230769231,0,9
117.5,499,55.7114228456914,0.235470941883768,-6597.5,1.00346761103733,1.86507936507937,0,10
16042.5,1576,55.4568527918782,10.1792512690355,-4242.5,1.18020219039596,403.584905660377,0,11
1350,307,54.7231270358306,4.39739413680782,-4617.5,1.0668813475353,30.7167235494881,0,12
2812.5,82,59.7560975609756,34.2987804878049,-1777.5,1.61779242174629,210.280373831776,0,13
9055,651,52.3809523809524,13.9093701996928,-4010,1.21332233936039,234.433656957929,0,14
0,0,0,0,0,0,0,0,15
2560,81,58.0246913580247,31.6049382716049,-1537.5,1.86340640809444,311.246200607903,0,16
4612.5,315,57.1428571428571,14.6428571428571,-3945,1.22178146411828,125.16960651289,0,17
3340,112,58.0357142857143,29.8214285714286,-1020,1.70725251455797,392.941176470588,0,18
18730,1540,56.1688311688312,12.1623376623377,-5250,1.20229512623194,375.915704967386,0,19
0,0,0,0,0,0,0,0,20
-270,187,55.0802139037433,-1.44385026737968,-3180,0.969654397302613,-9.54907161803713,0,21
1462.5,131,57.2519083969466,11.1641221374046,-2615,1.19532554257095,62.9032258064516,0,22
4785,165,55.1515151515151,29,-1735,1.59626168224299,368.076923076923,0,23
-1570,123,51.219512195122,-12.7642276422764,-2517.5,0.76275028333963,-72.1010332950631,0,24
1350,111,53.1531531531532,12.1621621621622,-2612.5,1.18575851393189,68.1818181818182,0,25
1505,108,61.1111111111111,13.9351851851852,-2312.5,1.27252150294251,84.9083215796897,0,26
0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,28
0,0,0,0,0,0,0,0,29
157.5,83,55.421686746988,1.89759036144578,-2072.5,1.02247591865858,8.61833105335157,0,30
202.5,122,53.2786885245902,1.65983606557377,-2930,1.0277302293735,8.03571428571429,0,31
2152.5,83,59.0361445783133,25.933734939759,-1720,1.65775401069519,136.23417721519,0,32
2185,243,51.0288065843621,8.9917695473251,-2765,1.19805121232722,87.5751503006012,0,33
0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,35
1515,114,53.5087719298246,13.2894736842105,-2272.5,1.22722159730034,72.1428571428571,0,36
8722.5,327,53.5168195718654,26.6743119266055,-2740,1.44765204003079,583.444816053512,0,37
0,0,0,0,0,0,0,0,38
0,0,0,0,0,0,0,0,39
2725,137,55.4744525547445,19.8905109489051,-1432.5,1.44948453608247,276.649746192893,0,40
9385,597,56.2814070351759,15.7202680067002,-3590,1.23990286298568,293.510555121188,0,41
4160,440,52.9545454545455,9.45454545454546,-3655,1.17785378366823,125.206922498119,0,42
-800,123,52.8455284552846,-6.50406504065041,-2525,0.86970684039088,-38.1861575178998,0,43
1475,108,59.2592592592593,13.6574074074074,-2132.5,1.29251363411006,91.1901081916538,0,44
0,0,0,0,0,0,0,0,45
0,0,0,0,0,0,0,0,46
0,0,0,0,0,0,0,0,47
-1695,157,57.9617834394904,-10.796178343949,-3387.5,0.872771626946894,-54.6774193548387,0,48
2485,176,55.1136363636364,14.1193181818182,-2837.5,1.24143794024775,91.7820867959372,0,49
0,0,0,0,0,0,0,0,50
0,0,0,0,0,0,0,0,51
4612.5,315,57.1428571428571,14.6428571428571,-3945,1.22178146411828,125.16960651289,0,52
695,137,58.3941605839416,5.07299270072993,-3345,1.07688053097345,23.380992430614,0,53
-2125,122,59.8360655737705,-17.4180327868852,-4140,0.808169713382983,-66.4581704456607,0,54
315,590,51.6949152542373,0.533898305084746,-3870,1.00891467383614,8.86075949367089,0,55
0,0,0,0,0,0,0,0,56
2502.5,89,58.4269662921348,28.1179775280899,-1537.5,1.53846153846154,194.747081712062,0,57
2572.5,267,57.6779026217228,9.63483146067416,-3147.5,1.14165748898678,118.140068886338,0,58
5690,610,52.6229508196721,9.32786885245902,-3410,1.16621631490543,181.066030230708,0,59
1227.5,111,53.1531531531532,11.0585585585586,-2502.5,1.16712049012934,66.6214382632293,0,60
2752.5,502,55.5776892430279,5.48306772908367,-3967.5,1.07971329278888,77.1008403361345,0,61
1387.5,88,51.1363636363636,15.7670454545455,-2487.5,1.28490759753593,67.8484107579462,0,62
1725,108,56.4814814814815,15.9722222222222,-1580,1.35751295336788,132.437619961612,0,63
3637.5,440,53.1818181818182,8.26704545454546,-2922.5,1.17515348501264,137.784090909091,0,64
21605,1880,54.5212765957447,11.4920212765957,-4910,1.17593290038884,470.953678474114,0,65
675,187,50.8021390374332,3.6096256684492,-3727.5,1.06595017098192,18.8022284122563,0,66
-705,123,53.6585365853659,-5.73170731707317,-2525,0.881363062684056,-33.6515513126492,0,67
1667.5,83,57.8313253012048,20.0903614457831,-1697.5,1.50377643504532,106.72,0,68
7.5,122,55.7377049180328,0.0614754098360656,-2975,1.00095602294455,0.292397660818713,0,69
-817.5,123,53.6585365853659,-6.64634146341463,-2525,0.865598027127004,-39.0214797136038,0,70
0,0,0,0,0,0,0,0,71
1475,108,59.2592592592593,13.6574074074074,-2132.5,1.29251363411006,91.1901081916538,0,72
16042.5,1576,55.4568527918782,10.1792512690355,-4242.5,1.18020219039596,403.584905660377,0,73
1382.5,168,53.5714285714286,8.22916666666667,-2767.5,1.13553921568627,71.9115734720416,0,74
-307.5,266,53.3834586466165,-1.15601503759399,-4607.5,0.984108527131783,-7.23955267804591,0,75
1505,108,61.1111111111111,13.9351851851852,-2312.5,1.27252150294251,84.9083215796897,0,76
1525,114,53.5087719298246,13.3771929824561,-2272.5,1.22872140982377,72.6190476190476,0,77
1462.5,131,57.2519083969466,11.1641221374046,-2615,1.19532554257095,62.9032258064516,0,78
-705,123,53.6585365853659,-5.73170731707317,-2525,0.881363062684056,-33.6515513126492,0,79
4310,292,58.5616438356164,14.7602739726027,-3752.5,1.19121561668146,136.284584980237,0,80
1567.5,145,57.9310344827586,10.8103448275862,-4205,1.14780763790665,42.5084745762712,0,81
0,0,0,0,0,0,0,0,82
-1025,77,50.6493506493507,-13.3116883116883,-1817.5,0.816882536846807,-71.1805555555556,0,83
985,258,53.8759689922481,3.81782945736434,-2110,1.07433962264151,58.1979320531758,0,84
-490,208,52.8846153846154,-2.35576923076923,-3660,0.955220470641992,-14.4011756061719,0,85
0,0,0,0,0,0,0,0,86
23170,1716,54.3706293706294,13.502331002331,-7197.5,1.182003849024,363.736263736264,0,87
1467.5,108,61.1111111111111,13.587962962963,-2312.5,1.26299283154122,82.7926657263752,0,88
267.5,95,54.7368421052632,2.81578947368421,-2047.5,1.04618040569702,15.9940209267564,0,89
2400,81,58.0246913580247,29.6296296296296,-1537.5,1.64646464646465,289.156626506024,0,90
-2125,122,59.8360655737705,-17.4180327868852,-4140,0.808169713382983,-66.4581704456607,0,91
0,0,0,0,0,0,0,0,92
1140,505,53.4653465346535,2.25742574257426,-3860,1.03647708183345,30.3393213572854,0,93
815,81,58.0246913580247,10.0617283950617,-1285,1.23302358827734,78.9346246973366,0,94
667.5,266,51.8796992481203,2.5093984962406,-2755,1.04145962732919,27.1617497456765,0,95
1350,307,54.7231270358306,4.39739413680782,-4617.5,1.0668813475353,30.7167235494881,0,96
12542.5,927,54.5846817691478,13.5302049622438,-4617.5,1.21437422552664,274.153005464481,0,97
8300,411,55.7177615571776,20.1946472019465,-2577.5,1.35292867013926,382.04833141542,0,98
4890,165,58.7878787878788,29.6363636363636,-1892.5,1.57869822485207,310.47619047619,0,99
0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,101
2275,210,55.7142857142857,10.8333333333333,-4760,1.1636396331595,67.2082717872969,0,102
812.5,152,54.6052631578947,5.34539473684211,-3197.5,1.07652460560396,26.7930750206101,0,103
0,0,0,0,0,0,0,0,104
0,0,0,0,0,0,0,0,105
0,0,0,0,0,0,0,0,106
922.5,152,56.5789473684211,6.06907894736842,-3550,1.08403552721476,27.2525849335303,0,107
-1757.5,75,56,-23.4333333333333,-4320,0.766056572379368,-41.7458432304038,0,108
7790,959,52.1376433785193,8.12304483837331,-4672.5,1.14326436781609,204.596191726855,0,109
1767.5,83,59.0361445783133,21.2951807228916,-2110,1.4839151266256,89.9491094147583,0,110
8002.5,327,53.5168195718654,24.4724770642202,-2925,1.40304709141274,432.567567567568,0,111
18635,1538,56.111833550065,12.1163849154746,-5757.5,1.20013961980453,339.435336976321,0,112
-695,123,52.8455284552846,-5.65040650406504,-2525,0.883779264214047,-33.1742243436754,0,113
5265,479,57.8288100208768,10.9916492693111,-2287.5,1.20261689436213,263.579474342929,0,114
1467.5,108,61.1111111111111,13.587962962963,-2312.5,1.26299283154122,82.7926657263752,0,115
0,0,0,0,0,0,0,0,116
900,140,55.7142857142857,6.42857142857143,-2535,1.10386612810156,44.4444444444444,0,117
0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,119
1350,307,54.7231270358306,4.39739413680782,-4617.5,1.0668813475353,30.7167235494881,0,120
0,0,0,0,0,0,0,0,121
6095,440,52.9545454545455,13.8522727272727,-3645,1.24074256936901,197.88961038961,0,122
0,0,0,0,0,0,0,0,123
5517.5,501,54.8902195608782,11.0129740518962,-3287.5,1.16299852289513,196.877787689563,0,124
0,0,0,0,0,0,0,0,125
-2837.5,122,51.6393442622951,-23.2581967213115,-3882.5,0.723777074714042,-86.6412213740458,0,126
467.5,122,51.6393442622951,3.83196721311475,-2812.5,1.06382252559727,19.4588969823101,0,127
3777.5,586,53.7542662116041,6.4462457337884,-3345,1.1092868508607,115.608263198164,0,128
0,0,0,0,0,0,0,0,129
3187.5,505,56.2376237623762,6.31188118811881,-4550,1.10268180719981,77.3665048543689,0,130
667.5,111,52.2522522522523,6.01351351351351,-1880,1.08651976668827,40.393343419062,0,131
5640,148,59.4594594594595,38.1081081081081,-1960,1.81887477313975,331.277533039648,0,132
2015,81,59.2592592592593,24.8765432098765,-1175,1.65957446808511,218.428184281843,0,133
2500,176,55.1136363636364,14.2045454545455,-2822.5,1.24324981756264,92.8505106778087,0,134
1015,84,53.5714285714286,12.0833333333333,-2117.5,1.19169027384325,102.784810126582,0,135
0,0,0,0,0,0,0,0,136
1515,114,53.5087719298246,13.2894736842105,-2272.5,1.22722159730034,72.1428571428571,0,137
-847.5,266,53.3834586466165,-3.18609022556391,-4975,0.955974025974026,-18.3640303358613,0,138
0,0,0,0,0,0,0,0,139
837.5,131,51.1450381679389,6.39312977099237,-2552.5,1.11989978525412,38.4174311926606,0,140
1762.5,234,55.5555555555556,7.53205128205128,-2665,1.13344690516752,74.2887249736565,0,141
4317.5,292,58.5616438356164,14.7859589041096,-3752.5,1.19137854609929,136.521739130435,0,142
1360,152,56.5789473684211,8.94736842105263,-3530,1.12927756653992,40.4160475482912,0,143
5092.5,240,55,21.21875,-2792.5,1.35340041637752,193.447293447293,0,144
1225,131,58.0152671755725,9.35114503816794,-2592.5,1.16689373297003,53.2030401737242,0,145
5015,165,58.1818181818182,30.3939393939394,-2082.5,1.56956274843839,310.046367851623,0,146
1767.5,83,59.0361445783133,21.2951807228916,-2110,1.4839151266256,89.9491094147583,0,147
2395,234,54.7008547008547,10.2350427350427,-2570,1.19007936507937,105.85635359116,0,148
2570,267,57.3033707865169,9.62546816479401,-3147.5,1.14124759549327,118.025258323766,0,149
767.5,506,54.9407114624506,1.51679841897233,-4837.5,1.02754351336802,17.6945244956772,0,150
