Value,SuccessPct,MeanNetProfit,MeanRetDd,MeanKRatio
0,100.00,132454.70,2.32,0.47
1,100.00,137689.48,2.39,0.43
10,94.20,34974.80,0.58,0.29
2,100.00,134553.08,2.27,0.43
3,100.00,124220.23,2.15,0.42
4,100.00,114880.57,2.19,0.42
5,100.00,98100.88,1.70,0.39
6,100.00,86017.45,1.46,0.38
7,100.00,67651.23,1.20,0.33
8,100.00,70933.55,1.30,0.35
9,100.00,44781.60,0.76,0.35
