Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EntryFinder)
12481.583,2279,53.3128565160158,5.47678060552874,-11318.592,1.06876453812963,115.671339702729,0,1
16975.868,2014,53.6742800397219,8.4289314796425,-10172.36,1.08616556090054,169.736546354355,0,2
23925.833,3037,54.0006585446164,7.87811425749095,-12456.723,1.08485048641308,207.608605673657,0,3
18997.5,3067,52.5921095533094,6.1941636778611,-14567.5,1.0815562114301,133.339182312686,0,4
22090,3082,53.9584685269306,7.16742375081116,-9687.5,1.08989998677343,251.594533029613,0,5
34184.14,6853,52.9111338100102,4.98820078797607,-9281.376,1.10076159346934,384.603977885137,0,6
23469.123,1332,54.1291291291291,17.6194617117117,-10507.371,1.22906612643431,230.194653674062,0,7
12723,3089,53.123988345743,4.11880867594691,-12324.5,1.06234075496844,105.808973346085,0,8
5002.12,2468,51.5397082658023,2.02679092382496,-7666.47,1.03761272738442,67.767558245239,0,9
17130,1176,54.5068027210884,14.5663265306122,-9250,1.13975117275138,202.721893491124,0,10
16500.625,945,55.7671957671958,17.4609788359788,-9098.125,1.28167075642804,185.29618192027,0,11
18012.5,2468,54.2949756888169,7.29841977309562,-11590,1.09833089951278,160.754127621598,0,12
12022.02,2678,51.8670649738611,4.4891784914115,-9540.482,1.08428312588446,130.383856288641,0,13
4492.5,1339,53.3980582524272,3.35511575802838,-11398.5,1.03183799298395,41.4208002950396,0,14
29900,3271,52.0941608070926,9.1409354937328,-13563.125,1.11791412282885,223.928103351432,0,15
23600,1611,55.12104283054,14.649286157666,-10118.5,1.1300805838193,252.961037569002,0,16
16993.1,1999,51.575787893947,8.5008004002001,-7040.664,1.11100003842161,282.480869942204,0,17
15227.375,1520,54.9342105263158,10.0180098684211,-11467.16,1.12498014787626,141.234507785236,0,18
12263.358,2075,52.433734939759,5.91005204819277,-9769.004,1.08093904984342,130.614045962703,0,19
11817.531,2430,52.880658436214,4.86318148148148,-9580.03,1.06494724157189,126.831155896466,0,20
13689,1615,53.6842105263158,8.47616099071207,-17551.5,1.09413617389989,79.430196123941,0,21
9405.58,1986,53.5246727089627,4.73594159113797,-7549.86,1.07904467812101,140.855865637332,0,22
21597.5,2749,52.091669698072,7.8564932702801,-8545,1.10660562459124,269.463505926388,0,23
24499.485,3277,52.273420811718,7.47619316447971,-8746.092,1.11654758012738,286.339663014376,0,24
5471.71,2235,52.0805369127517,2.44819239373602,-7680.48,1.04192024511159,74.7698505206974,0,25
29047.669,6496,52.2167487684729,4.47162392241379,-10305.615,1.08748507785369,295.782585917481,0,26
41216,7049,52.4187828060718,5.84707050645482,-10525,1.11486827326921,399.186440677966,0,27
8033.67,1158,53.3678756476684,6.93753886010363,-6176.44,1.08534417109309,140.685383459595,0,28
11125.5,1454,53.576341127923,7.65165061898212,-8181,1.14078901578664,140.909378760053,0,29
36291.538,3100,54.6451612903226,11.7069477419355,-13002.197,1.12115776161251,302.689367379342,0,30
27841.476,2969,53.8901987201078,9.37739171438195,-13138.76,1.09548899861798,229.938560766633,0,31
31074.354,6153,53.4373476352999,5.05027693807899,-12921.456,1.07820264809864,260.932645985089,0,32
19192.5,2086,53.6433365292426,9.20062320230105,-12660,1.085911883526,166.384915474642,0,33
8177.5,2088,54.5498084291188,3.91642720306513,-12047.5,1.05257067549541,72.9319955406912,0,34
25718.746,3464,53.0311778290993,7.42458025404157,-11189.566,1.10534874876409,236.657166792178,0,35
27089.75,3058,53.3355134074559,8.8586494440811,-10763.25,1.13077485662425,260.284403449353,0,36
17144.536,2551,52.8028224225794,6.72071187769502,-8744.36,1.08871972640073,202.609544473674,0,37
23173.269,1293,54.8337200309358,17.9220951276102,-9895.479,1.22657980748654,242.311374605711,0,38
21205.952,2119,52.5719679093912,10.0075280792827,-12291.802,1.12309344904771,178.850519726989,0,39
21104.538,2077,54.3090996629754,10.1610678863746,-12150.648,1.11608622603888,178.816147642248,0,40
24728,2873,53.7417333797424,8.6070309780717,-12091.75,1.09333469213668,221.845422329879,0,41
7755,857,53.9089848308051,9.04900816802801,-10205,1.08725002109527,78.7909575819152,0,42
20655.649,1862,51.8796992481203,11.0932593984962,-8134.847,1.13446314806076,260.891040900443,0,43
18875,3089,54.0628034962771,6.11039171252833,-12915,1.07214248858142,148.680582906656,0,44
30584.5,4433,53.2596435822242,6.89927814121363,-11652,1.10592016290881,268.002979320014,0,45
23760.53,1732,53.6374133949192,13.7185508083141,-10496.635,1.18236937075881,236.443534692289,0,46
20766.358,4871,53.2128926298501,4.26326380619996,-11584.36,1.07550709012661,184.477358695054,0,47
16237.5,2475,52.7272727272727,6.56060606060606,-10776.875,1.07408695949742,168.515275345398,0,48
26901.681,4526,52.364118426867,5.94380932390632,-10251.892,1.09340212605439,270.499879690378,0,49
7082.5,4736,52.0059121621622,1.49546030405405,-9705,1.02558729757314,76.0536912751678,0,50
31860.219,3556,52.3622047244095,8.95956664791901,-12633.218,1.11551103199453,269.879220984498,0,51
10447.5,923,54.9295774647887,11.319068255688,-10915,1.10857365549493,100.095808383234,0,52
15757.5,708,52.8248587570621,22.2563559322034,-7387.5,1.23785803237858,233.099112426036,0,53
19930,5617,52.0918639843333,3.54815737938401,-11325,1.06546822261824,180.01580670656,0,54
29547.5,4017,53.2984814538213,7.35561364202141,-11617.5,1.11729271076267,267.337706401267,0,55
18816.06,3005,54.1430948419301,6.2615840266223,-15939.85,1.07455994969755,126.794138754772,0,56
20011.39,2674,52.1316379955123,7.48369109947644,-16269.417,1.09737966079799,125.642988741764,0,57
15047.5,2608,53.7960122699387,5.76974693251534,-9667.5,1.07455901298186,164.229195088677,0,58
15630.75,2235,53.6017897091723,6.99362416107383,-10913.5,1.09088979632184,148.071047957371,0,59
17315,1894,54.012671594509,9.14202745512144,-10677.5,1.08332230549908,169.879813588423,0,60
14137.5,1718,53.9580908032596,8.2290454016298,-11060,1.07653786289504,134.674922600619,0,61
15542.553,1453,55.1961459050241,10.6968706125258,-10684.537,1.13121402337759,155.367174089412,0,62
19710,2609,53.7370640091989,7.55461862782675,-7777.5,1.10623618821754,262.101063829787,0,63
25905,3723,53.3172172978781,6.95809830781628,-13012.5,1.10300710770913,202.027685708715,0,64
6598.608,3090,52.2330097087379,2.13547184466019,-15091.724,1.02853006237209,45.993831065545,0,65
4083.5,2079,50.6974506974507,1.96416546416546,-14851.5,1.02770803930084,28.2370431836255,0,66
16955.86,4242,52.3102310231023,3.99713814238567,-15010.58,1.05986015921536,116.791338799621,0,67
17119.055,2543,53.5981124655918,6.73183444750295,-7826.877,1.09406467696951,226.162007784789,0,68
21796.25,2864,52.3743016759777,7.61042248603352,-10164.375,1.09184619436397,242.80442804428,0,69
16465.772,2257,53.5666814355339,7.29542401417811,-12719.684,1.07385234618778,142.171284145843,0,70
22092.821,5984,52.4398395721925,3.69198211898396,-11168.796,1.06314179880047,203.128169737197,0,71
