Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EntryFinder)
17059.956,1310,54.5038167938931,13.0228671755725,-3547.5,1.21952559624226,560.203696631512,0,1
23891,2612,53.2924961715161,9.14663093415008,-6012,1.14920078812689,437.403881362138,0,2
21574.54,2225,53.5280898876404,9.69642247191011,-6278.932,1.14104821659736,398.369116844384,0,3
23351.72,4100,52.7317073170732,5.69554146341464,-4868.93,1.12913909961959,509.42575475629,0,4
22865,2246,54.1852181656278,10.180320569902,-8055,1.13039820927016,316.251728907331,0,5
6236.42,1241,53.5858178887994,5.02531829170024,-4276.072,1.09406592581818,154.029796188538,0,6
15545,1479,54.4286680189317,10.5104800540906,-3270,1.20374193125594,550.752878653676,0,7
17405.147,2270,53.1718061674009,7.66746563876652,-7545.631,1.13170131471609,250.051281270333,0,8
14997.5,1585,51.608832807571,9.46214511041009,-5187.5,1.15683086109267,293.924546790789,0,9
13257.5,2041,53.0132288094072,6.49559039686428,-8577.5,1.0902561484129,164.536146447409,0,10
16700,2067,53.7010159651669,8.07934204160619,-4015,1.14882477442353,455.35105657805,0,11
13917.5,1479,54.5638945233266,9.41007437457742,-3980,1.15860398860399,357.546563904945,0,12
21878.636,2487,53.0357860876558,8.79719983916365,-5360.313,1.1633632527741,450.612267427455,0,13
22305.5,1978,54.3983822042467,11.2767947421638,-4663,1.15531401554846,570.254378115812,0,14
16154.808,1726,52.6651216685979,9.35968018539977,-6070.536,1.16714442294045,287.680606089962,0,15
19727.5,2188,53.473491773309,9.01622486288848,-8377.5,1.11777260380287,259.401709401709,0,16
3957.5,1667,52.369526094781,2.37402519496101,-6212.5,1.0411446691272,66.8496621621622,0,17
25907.188,2158,54.3095458758109,12.0051844300278,-7288.304,1.14945300723205,399.906950955065,0,18
13732,1263,55.1068883610451,10.8725257323832,-4062.5,1.18724390659622,370.884537474679,0,19
4992.5,1951,51.8195797027166,2.55894413121476,-8472.5,1.04419510467844,62.6804770872567,0,20
18679,1574,52.6683608640407,11.8672172808132,-4256,1.19897312440747,450.80246168698,0,21
21621.795,2086,55.8005752636625,10.3651941514861,-6901.965,1.13434433029335,355.799235309073,0,22
23860.32,1928,54.7717842323651,12.3756846473029,-6712.858,1.16318771894971,389.057108447644,0,23
4635.68,1066,54.1275797373358,4.34866791744841,-5058.572,1.08643701424303,94.9239613954704,0,24
13574.375,1832,53.4934497816594,7.40959334061135,-5788.125,1.10796663418902,260.388442632778,0,25
17326.75,1272,54.874213836478,13.6216588050314,-3547.5,1.21734508278976,566.742987979393,0,26
6417,1914,51.3061650992685,3.35266457680251,-6304,1.05858749092702,107.003501750875,0,27
13910,1479,54.5638945233266,9.40500338066261,-3980,1.15851851851852,357.353885677585,0,28
34333.333,3615,53.6099585062241,9.49746417704011,-4824.735,1.19210368464868,765.133383921279,0,29
7980,1060,53.4905660377358,7.52830188679245,-4617,1.13700923267104,192.660550458716,0,30
26552.5,2354,53.6533559898046,11.2797366185217,-7840,1.17794494613567,362.615227039945,0,31
19316,1543,53.8561244329229,12.5184705119896,-4162.168,1.17370721668412,503.720269916457,0,32
14837.5,1479,54.7667342799189,10.0321162947938,-3295,1.20356714114217,521.071115013169,0,33
6467.5,1910,51.8848167539267,3.38612565445026,-5762.25,1.0609045514793,123.079118892431,0,34
9530.25,1698,52.3557126030624,5.61263250883392,-6767,1.07755216629743,154.036689833522,0,35
16185.147,2089,53.3748204882719,7.74779655337482,-8019.733,1.10024874097458,219.170374880175,0,36
7547.486,1830,51.1475409836066,4.12430928961749,-6466.431,1.06462224203147,121.216889739885,0,37
15666.5,1857,52.5578890683899,8.43645665051158,-5270,1.12508807824742,334.5755472504,0,38
27762.5,2212,54.5660036166365,12.5508589511754,-7000,1.16284662648659,448.143664245359,0,39
24257.5,3748,53.1750266808965,6.47211846318036,-6791.25,1.12073138107592,402.948504983389,0,40
13867.5,1479,54.4962812711291,9.3762677484787,-3980,1.15803418803419,356.26204238921,0,41
6022.5,1614,52.1065675340768,3.7314126394052,-6294.375,1.06049723756906,104.206769763166,0,42
17240.75,1956,53.680981595092,8.81428936605317,-4471.094,1.12523811276873,450.904306262642,0,43
12086.25,1407,54.1577825159915,8.59008528784648,-5025,1.14177003606932,258.115323011212,0,44
21038,1848,54.5454545454545,11.3841991341991,-6781.75,1.14697011242117,339.226831136373,0,45
13612.5,1916,54.2275574112735,7.10464509394572,-5468.75,1.09529309846954,265.157048940833,0,46
26840,2267,54.4331715924129,11.8394353771504,-7197.5,1.14919399666481,420.195694716243,0,47
26639.111,4482,53.2574743418117,5.94357675145025,-5712.322,1.13336032434794,490.607445326937,0,48
13939.494,2050,53.6585365853659,6.79975317073171,-6242.5,1.08722029176534,250.499111540485,0,49
6815.116,1087,53.4498620055198,6.26965593376265,-5827.324,1.11322733242341,124.140883204999,0,50
19498.714,2073,53.8832609744332,9.40603666184274,-7824.644,1.12644844902759,273.968237821238,0,51
12940.95,1544,53.1088082901554,8.38144430051813,-5774.108,1.13340765814255,236.619024528314,0,52
5075,1508,50.9946949602122,3.36538461538462,-4485,1.07709543883635,121.411483253589,0,53
18497.743,2301,53.3246414602347,8.03900173837462,-7688.441,1.13910852815635,260.405386628818,0,54
8594.544,1341,53.8404175988069,6.40905592841163,-5660.268,1.10557550288421,153.124875284352,0,55
24696.481,2112,54.1666666666667,11.6934095643939,-7717.055,1.1569473518618,346.031815643847,0,56
