Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EntryFinder)
16807.5,1824,52.9605263157895,9.21463815789474,-6880,1.11635916784935,312.261960055736,0,1
17633.001,2440,53.6065573770492,7.22663975409836,-14183.94,1.08108805885393,130.23915461624,0,2
13307.13,3374,52.3117960877297,3.94402193242442,-11419.847,1.07230900603812,120.066555217985,0,3
19507.5,2497,53.8646375650781,7.81237484981978,-10402.5,1.09872716230578,197.194844579227,0,4
7410,1951,52.9984623270118,3.7980522808816,-7845,1.05622368071626,103.059805285118,0,5
26808.5,4258,53.4992954438704,6.2960310004697,-10903.5,1.11054686855691,255.989496299833,0,6
19961.5,1697,53.6829699469652,11.7628167354154,-5325,1.1647250078911,391.978399607266,0,7
14453.38,1721,53.8640325392214,8.39824520627542,-7841.564,1.1206594180644,228.81712272685,0,8
15497.5,3743,52.3376970344643,4.14039540475554,-9917.5,1.07847133435447,161.642764015645,0,9
24110,2682,53.4302759134974,8.98956002982849,-8877.5,1.11839811427309,280.023228803717,0,10
18463.502,2027,53.0833744449926,9.10878243709916,-10948.932,1.11112142269976,172.573318533102,0,11
25319.419,2620,53.5114503816794,9.66390038167939,-8285.461,1.14426362994254,330.952853690778,0,12
26765,2157,52.5266573945294,12.4084376448771,-5797.5,1.18554914296608,530.788299454636,0,13
14838.25,2308,53.2062391681109,6.42905112651646,-12802.75,1.07094074506129,120.584709778347,0,14
21969.984,1939,53.7390407426509,11.33057452295,-5325,1.1656319424864,431.418438880707,0,15
8184.78,1652,51.7554479418886,4.95446731234867,-8827.68,1.0977958364738,95.4135451940124,0,16
13824.004,1759,54.0079590676521,7.85901307561114,-8588.036,1.11612566325342,195.723255551862,0,17
9198.183,3076,52.2756827048114,2.99030656697009,-13628.758,1.05088848571222,70.2083952548679,0,18
22568.75,2414,53.3140016570008,9.34910936205468,-10118.75,1.11431809619689,232.397992019565,0,19
15591.66,2884,52.5312066574202,5.40626213592233,-13156.08,1.08586469066367,122.181351421667,0,20
22903.729,1684,51.2470308788599,13.6007891923991,-5058.584,1.21850643152919,475.32073737845,0,21
21818.367,1752,53.7671232876712,12.4534058219178,-5097.5,1.19603639548809,447.556246153846,0,22
17550,4566,52.4091108190977,3.84362680683311,-12410,1.07323561629545,147.789473684211,0,23
22804.375,1560,55.3846153846154,14.6181891025641,-8566.25,1.22096727307963,278.71820334581,0,24
12032.741,1604,53.5536159600997,7.50170885286783,-8110.939,1.10144150529114,182.703499075834,0,25
19387.5,2668,54.1604197901049,7.26667916041979,-13067.5,1.08194209636517,154.697785757032,0,26
25700.5,2112,52.5094696969697,12.1687973484848,-5242.25,1.18099644704548,522.394430611312,0,27
13006.36,1846,52.4918743228602,7.04569880823402,-8968.938,1.10094464215866,156.9462100639,0,28
4109.338,1606,52.7397260273973,2.55874097135741,-8664.701,1.04848382237715,48.6761450005751,0,29
11620.253,3020,52.7152317880795,3.84776589403974,-12777.861,1.05766291068801,93.955236075179,0,30
22074.52,2274,53.2541776605101,9.7073526824978,-8400.195,1.13125820548858,284.641714360503,0,31
30247.852,2545,54.4204322200393,11.8852070726916,-11328.052,1.13009406249308,292.759377095435,0,32
20053.668,2258,53.5429583702391,8.88116386182462,-7227.188,1.11929958195078,349.995811290248,0,33
12855.211,3639,53.0365485023358,3.53262187414125,-13858.134,1.05811659184148,95.591038875728,0,34
19368.86,1846,52.4377031419285,10.4923401950163,-8477.145,1.14731647923984,239.279919008184,0,35
13539.316,1473,53.9035980991174,9.19166055668703,-8422.188,1.18703289834522,189.236986993703,0,36
24398.5,2403,54.0990428630878,10.1533499791927,-12521.75,1.11298531100656,202.615898851911,0,37
14961.875,2288,53.2342657342657,6.53928103146853,-12925,1.07188047045541,120.393281029974,0,38
20067.5,2454,53.8304808475958,8.17746536267319,-7842.5,1.11061806656101,283.139329805996,0,39
15992.64,3712,51.6163793103448,4.30836206896552,-10246.8,1.09154844517554,161.105693677721,0,40
19499.326,1997,53.9308963445168,9.76430946419629,-6764.063,1.14104424624865,298.539966620547,0,41
20283.524,2143,53.4297713485768,9.46501353243117,-7420.536,1.12610741057212,343.903021276913,0,42
11110,1643,54.5343883140596,6.76202069385271,-9487.5,1.09576141530373,129.789719626168,0,43
20337.5,1593,51.2868801004394,12.7667922159448,-7505,1.19663532426096,280.614004829251,0,44
11339.88,1591,53.5512256442489,7.12751728472659,-8077.324,1.09412247246117,163.789960695771,0,45
19275,2668,54.1604197901049,7.22451274362819,-13067.5,1.08147694128588,153.800119688809,0,46
9157.908,2167,52.9764651592063,4.22607660359945,-5176.608,1.07709461211845,188.565929142315,0,47
18173.361,2168,53.8745387453875,8.38254658671587,-10572.681,1.09341262600277,181.322352771679,0,48
25350.16,2547,53.6317235963879,9.9529485669415,-8873.598,1.11574070290479,300.763661999303,0,49
3240,2543,51.1600471883602,1.27408572552104,-11925,1.02170527056223,28.3526580616933,0,50
23332.5,2350,53.1914893617021,9.92872340425532,-8643.75,1.11747454277695,293.721479150275,0,51
8985,1643,54.1083384053561,5.46865489957395,-6495,1.09312087057909,154.315156719622,0,52
12205,1643,53.5605599513086,7.42848447961047,-7452.5,1.16242472635326,172.143864598025,0,53
22790,3524,52.1850170261067,6.46708286038593,-7765,1.11992843235279,301.954289499834,0,54
24194.375,1748,55.5491990846682,13.8411756292906,-7260,1.1999958668933,354.074819354249,0,55
24135.5,2176,53.8143382352941,11.0916819852941,-10636,1.12627164976365,231.771258462573,0,56
17628.06,2135,52.7868852459016,8.25670257611241,-10756.972,1.10213049939118,167.774883191846,0,57
24435.75,2310,53.2467532467532,10.5782467532468,-9120.5,1.14354971361433,288.310424163766,0,58
18024.604,2421,53.8620404791409,7.44510698058653,-7857.322,1.10023686728467,283.413655287837,0,59
12332.056,2057,52.7467185221196,5.99516577540107,-10199.569,1.0881446662691,130.056594188462,0,60
15504.375,2243,53.3660276415515,6.91233838609006,-9589.375,1.08064510885643,168.904473343773,0,61
28219.075,2661,54.3028936490041,10.6046880871853,-13243.599,1.11594444985883,226.895408642618,0,62
13849.246,3198,52.7829893683552,4.33059599749844,-11713.049,1.06775435730835,121.8796645161,0,63
30977.5,4123,53.6502546689304,7.51333980111569,-8002.5,1.13007694810989,413.171057019006,0,64
