"Strategy Name";"Filters result";"Complexity";"# of trades";"Profit factor";"Net profit";"Drawdown";"Ret/DD Ratio";"Avg. Trade";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 1.16.139";"";"5";"1000";"1.47";"31467.33";"2587.85";"12.16";"31.47";"0.9";"217";"";"";"High,HighD";"ExitAfterXBars";"0.0";"17.12";"0.95";"0.95"
"Strategy 1.16.131";"";"6";"951";"1.53";"33600.43";"2463.91";"13.64";"35.33";"0.89";"263";"";"";"HeikenAshiLow,HighD";"ExitAfterXBars";"0.0";"17.78";"1.14";"1.14"
"Strategy 1.16.133";"";"5";"1083";"1.51";"35282.3";"2463.91";"14.32";"32.58";"0.87";"542";"";"";"HeikenAshiLow";"ExitAfterXBars";"0.0";"18.27";"1.46";"1.46"
"Strategy 1.16.178";"";"5";"998";"1.52";"30780.5";"2463.91";"12.49";"30.84";"0.83";"592";"";"";"HighD";"ExitAfterXBars";"0.0";"16.9";"1.79";"1.79"
"Strategy 1.16.188";"";"5";"854";"1.56";"31553.52";"2466.09";"12.79";"36.95";"0.82";"453";"";"";"Close,High";"ExitAfterXBars";"0.0";"17.15";"1.13";"1.13"
"Strategy 4.18.123";"";"3";"1629";"1.43";"42649.51";"2753.84";"15.49";"26.18";"0.86";"504";"";"";"Close";"ExitAfterXBars";"0.0";"20.27";"1.27";"1.27"
"Strategy 4.18.134";"";"6";"1756";"1.42";"42508.29";"2792.24";"15.22";"24.21";"0.89";"579";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.23";"1.16";"1.16"
"Strategy 4.18.147";"";"5";"1343";"1.4";"33362.63";"2463.91";"13.54";"24.84";"0.9";"547";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.7";"1.19";"1.19"
"Strategy 4.18.149";"";"5";"1151";"1.53";"37104.39";"2487.84";"14.91";"32.24";"0.89";"555";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.79";"1.26";"1.26"
"Strategy 4.18.133";"";"6";"1817";"1.35";"38547.29";"2942.05";"13.1";"21.21";"0.89";"377";"";"";"HeikenAshiLow";"ExitAfterXBars";"0.0";"19.19";"0.97";"0.97"
"Strategy 4.18.154";"";"6";"1964";"1.31";"36910.8";"3030.37";"12.18";"18.79";"0.87";"606";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.74";"0.91";"0.91"
"Strategy 4.18.161";"";"6";"1537";"1.51";"44973.44";"2715.01";"16.56";"29.26";"0.9";"494";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.85";"1.33";"1.33"
"Strategy 4.18.150";"";"3";"1476";"1.41";"37691.9";"2586.15";"14.57";"25.54";"0.87";"272";"";"";"HeikenAshiLow";"ExitAfterXBars";"0.0";"18.96";"0.96";"0.96"
"Strategy 4.18.168";"";"5";"1269";"1.45";"35994.19";"2463.91";"14.61";"28.36";"0.9";"426";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.48";"1.14";"1.14"
"Strategy 4.18.182";"";"5";"1654";"1.42";"41358.85";"3408.38";"12.13";"25.01";"0.88";"493";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.94";"0.98";"0.98"
"Strategy 4.18.180";"";"4";"1375";"1.44";"37600.7";"2463.91";"15.26";"27.35";"0.9";"585";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.93";"0.98";"0.98"
"Strategy 4.18.184";"";"5";"1475";"1.42";"38903.52";"2463.91";"15.79";"26.38";"0.91";"371";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.29";"1.04";"1.04"
"Strategy 3.19.100";"";"4";"2014";"1.32";"39277.41";"2765.42";"14.2";"19.5";"0.9";"537";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"19.39";"1.1";"1.1"
"Strategy 3.19.146";"";"6";"942";"1.65";"35087.51";"2463.91";"14.24";"37.25";"0.9";"487";"";"";"HighD";"ExitAfterXBars";"0.0";"18.22";"1.12";"1.12"
"Strategy 3.19.152";"";"4";"1192";"1.41";"31341.5";"2510.83";"12.48";"26.29";"0.87";"436";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"17.08";"0.94";"0.94"
"Strategy 3.19.170";"";"3";"920";"1.53";"30529.64";"2463.91";"12.39";"33.18";"0.9";"586";"";"";"HighD";"ExitAfterXBars";"0.0";"16.82";"1.03";"1.03"
