"Strategy Name";"Filters result";"Complexity";"# of trades";"Profit factor";"Net profit";"Drawdown";"Ret/DD Ratio";"Avg. Trade";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 3.20.108";"";"5";"989";"1.52";"29908.26";"2463.91";"12.14";"30.24";"0.81";"397";"";"";"HighD";"ExitAfterXBars";"0.0";"16.62";"1.52";"1.52"
"Strategy 3.20.121";"";"4";"1027";"1.52";"33725.25";"2477.57";"13.61";"32.84";"0.88";"414";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.81";"0.81";"0.81"
"Strategy 3.20.140";"";"5";"1474";"1.36";"34533.05";"2859.35";"12.08";"23.43";"0.86";"371";"";"";"High";"ExitAfterXBars";"0.0";"18.05";"0.99";"0.99"
"Strategy 3.20.170";"";"3";"1247";"1.43";"32438.43";"2496.99";"12.99";"26.01";"0.86";"397";"";"";"HighD";"ExitAfterXBars";"0.0";"17.42";"1.34";"1.34"
"Strategy 1.18.145";"";"4";"917";"1.55";"32645.86";"2463.91";"13.25";"35.6";"0.86";"473";"";"";"HeikenAshiLow,High";"ExitAfterXBars";"0.0";"17.49";"1.18";"1.18"
"Strategy 1.18.159";"";"4";"1535";"1.45";"42570.35";"3189.66";"13.35";"27.73";"0.88";"400";"";"";"HeikenAshiLow,High";"ExitAfterXBars";"0.0";"20.25";"1.2";"1.2"
"Strategy 3.21.115";"";"3";"1633";"1.43";"40671.29";"3102.67";"13.11";"24.91";"0.89";"586";"";"";"HighD";"ExitAfterXBars";"0.0";"19.76";"1.11";"1.11"
"Strategy 3.21.121";"";"4";"962";"1.54";"30944.01";"2463.91";"12.56";"32.17";"0.86";"688";"";"";"HighD";"ExitAfterXBars";"0.0";"16.96";"1.58";"1.58"
"Strategy 3.21.132";"";"3";"1290";"1.43";"34490.79";"2463.91";"14.0";"26.74";"0.87";"377";"";"";"HighD";"ExitAfterXBars";"0.0";"18.04";"1.02";"1.02"
"Strategy 3.21.139";"";"4";"1574";"1.38";"36459.26";"2558.28";"14.25";"23.16";"0.9";"398";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.61";"1.05";"1.05"
"Strategy 3.21.160";"";"3";"1043";"1.45";"32102.34";"2463.91";"13.03";"30.78";"0.86";"932";"";"";"High";"ExitAfterXBars";"0.0";"17.32";"0.81";"0.81"
"Strategy 3.21.162";"";"4";"1063";"1.47";"29905.31";"2463.91";"12.14";"28.13";"0.82";"569";"";"";"HighD";"ExitAfterXBars";"0.0";"16.62";"1.76";"1.76"
"Strategy 3.21.181";"";"4";"980";"1.55";"33863.69";"2463.91";"13.74";"34.55";"0.91";"452";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.85";"1.32";"1.32"
"Strategy 3.21.185";"";"4";"957";"1.63";"37031.99";"2463.91";"15.03";"38.7";"0.86";"827";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.77";"1.1";"1.1"
"Strategy 3.21.183";"";"6";"1154";"1.4";"29916.61";"2463.91";"12.14";"25.92";"0.91";"612";"";"";"HeikenAshiClose";"ExitAfterXBars";"0.0";"16.63";"1.05";"1.05"
"Strategy 1.19.112";"";"5";"1211";"1.56";"40835.14";"2463.91";"16.57";"33.72";"0.9";"264";"";"";"High,HighD";"ExitAfterXBars";"0.0";"19.8";"1.11";"1.11"
"Strategy 3.22.109";"";"3";"980";"1.63";"36395.62";"2463.91";"14.77";"37.14";"0.88";"315";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.59";"0.89";"0.89"
"Strategy 3.22.119";"";"4";"1245";"1.45";"33695.13";"2463.91";"13.68";"27.06";"0.88";"396";"";"";"HighD";"ExitAfterXBars";"0.0";"17.8";"1.39";"1.39"
"Strategy 3.22.157";"";"6";"1287";"1.38";"31145.64";"2586.5";"12.04";"24.2";"0.87";"676";"";"";"High";"ExitAfterXBars";"0.0";"17.02";"0.91";"0.91"
"Strategy 3.22.162";"";"6";"679";"1.71";"30929.5";"2463.91";"12.55";"45.55";"0.89";"317";"";"";"HighD";"ExitAfterXBars";"0.0";"16.95";"1.06";"1.06"
"Strategy 3.22.169";"";"4";"861";"1.58";"32420.57";"2537.3";"12.78";"37.65";"0.83";"361";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.42";"0.95";"0.95"
"Strategy 1.20.103";"";"4";"1442";"1.42";"37974.01";"2463.91";"15.41";"26.33";"0.88";"313";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.03";"1.27";"1.27"
"Strategy 1.20.113";"";"5";"1676";"1.47";"45751.32";"3332.25";"13.73";"27.3";"0.86";"478";"";"";"TEMA";"ExitAfterXBars";"0.0";"21.04";"1.26";"1.26"
"Strategy 1.20.117";"";"5";"1348";"1.41";"35547.65";"2636.06";"13.49";"26.37";"0.86";"469";"";"";"High,HighD";"ExitAfterXBars";"0.0";"18.35";"0.9";"0.9"
"Strategy 1.20.145";"";"6";"1144";"1.56";"37779.68";"2463.91";"15.33";"33.02";"0.9";"315";"";"";"High,HighD";"ExitAfterXBars";"0.0";"18.98";"1.35";"1.35"
"Strategy 1.20.139";"";"4";"1124";"1.5";"35451.43";"2689.92";"13.18";"31.54";"0.85";"436";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.32";"0.8";"0.8"
"Strategy 1.20.144";"";"4";"1401";"1.41";"36463.09";"2463.91";"14.8";"26.03";"0.9";"358";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.61";"1.22";"1.22"
"Strategy 1.20.152";"";"5";"1401";"1.47";"39889.81";"2463.91";"16.19";"28.47";"0.9";"392";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.55";"1.12";"1.12"
"Strategy 1.20.157";"";"5";"1790";"1.43";"45646.38";"3228.5";"14.14";"25.5";"0.82";"520";"";"";"TEMA";"ExitAfterXBars";"0.0";"21.01";"1.44";"1.44"
"Strategy 1.20.160";"";"5";"1436";"1.41";"36720.37";"2463.91";"14.9";"25.57";"0.86";"490";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.68";"1.14";"1.14"
"Strategy 1.20.159";"";"4";"1604";"1.42";"40162.74";"2463.91";"16.3";"25.04";"0.87";"453";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.62";"1.31";"1.31"
"Strategy 1.20.163";"";"4";"1052";"1.47";"29799.01";"2463.91";"12.09";"28.33";"0.82";"571";"";"";"HighD";"ExitAfterXBars";"0.0";"16.59";"1.76";"1.76"
"Strategy 1.20.175";"";"7";"671";"1.72";"30472.37";"2463.91";"12.37";"45.41";"0.84";"464";"";"";"HighD,TEMA";"ExitAfterXBars";"0.0";"16.81";"1.97";"1.97"
"Strategy 1.21.103";"";"6";"1300";"1.48";"39443.11";"2636.9";"14.96";"30.34";"0.91";"208";"";"";"High,HighD";"ExitAfterXBars";"0.0";"19.43";"1.18";"1.18"
"Strategy 1.21.118";"";"7";"1534";"1.48";"42867.81";"2758.91";"15.54";"27.95";"0.89";"503";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.32";"1.22";"1.22"
"Strategy 1.21.123";"";"4";"1111";"1.44";"31652.46";"2469.87";"12.82";"28.49";"0.88";"495";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.18";"0.87";"0.87"
"Strategy 1.21.124";"";"7";"836";"1.6";"32729.82";"2463.91";"13.28";"39.15";"0.89";"499";"";"";"HighD,TEMA";"ExitAfterXBars";"0.0";"17.51";"1.42";"1.42"
"Strategy 1.21.151";"";"6";"955";"1.56";"34517.27";"2463.91";"14.01";"36.14";"0.91";"319";"";"";"HighD,TEMA";"ExitAfterXBars";"0.0";"18.05";"1.31";"1.31"
"Strategy 1.21.159";"";"4";"952";"1.57";"32798.37";"2463.91";"13.31";"34.45";"0.84";"746";"";"";"HighD";"ExitAfterXBars";"0.0";"17.53";"1.4";"1.4"
"Strategy 1.21.162";"";"4";"818";"1.59";"30970.19";"2463.91";"12.57";"37.86";"0.84";"586";"";"";"TEMA";"ExitAfterXBars";"0.0";"16.96";"0.97";"0.97"
"Strategy 1.21.175";"";"3";"839";"1.58";"31608.76";"2463.91";"12.83";"37.67";"0.89";"462";"";"";"High";"ExitAfterXBars";"0.0";"17.17";"1.18";"1.18"
"Strategy 1.21.171";"";"6";"710";"1.67";"31105.79";"2463.91";"12.62";"43.81";"0.86";"491";"";"";"HeikenAshiLow";"ExitAfterXBars";"0.0";"17.01";"0.95";"0.95"
"Strategy 1.22.101";"";"5";"1300";"1.46";"38732.43";"2722.97";"14.22";"29.79";"0.9";"235";"";"";"High,HighD";"ExitAfterXBars";"0.0";"19.24";"0.98";"0.98"
"Strategy 1.22.118";"";"6";"1125";"1.5";"35717.09";"2463.91";"14.5";"31.75";"0.89";"296";"";"";"High,HighD";"ExitAfterXBars";"0.0";"18.4";"0.99";"0.99"
"Strategy 1.22.123";"";"4";"1052";"1.49";"30574.88";"2463.91";"12.41";"29.06";"0.83";"571";"";"";"HighD";"ExitAfterXBars";"0.0";"16.84";"1.78";"1.78"
"Strategy 1.22.130";"";"3";"1296";"1.55";"40888.66";"2463.91";"16.6";"31.55";"0.9";"315";"";"";"HighD";"ExitAfterXBars";"0.0";"19.82";"1.38";"1.38"
"Strategy 1.22.134";"";"5";"737";"1.63";"29727.95";"2463.91";"12.07";"40.34";"0.83";"712";"";"";"High,HighD";"ExitAfterXBars";"0.0";"16.56";"1.84";"1.84"
"Strategy 1.22.138";"";"5";"962";"1.55";"34633.61";"2463.91";"14.06";"36.0";"0.89";"491";"";"";"HighD,TEMA";"ExitAfterXBars";"0.0";"18.08";"1.31";"1.31"
"Strategy 1.22.164";"";"6";"1213";"1.51";"36958.07";"2463.91";"15.0";"30.47";"0.89";"493";"";"";"High,HighD";"ExitAfterXBars";"0.0";"18.75";"1.41";"1.41"
"Strategy 1.22.176";"";"4";"1604";"1.39";"37834.87";"2769.09";"13.66";"23.59";"0.86";"266";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.99";"1.31";"1.31"
"Strategy 1.22.183";"";"5";"702";"1.71";"30884.7";"2463.91";"12.53";"44.0";"0.84";"432";"";"";"HighD,TEMA";"ExitAfterXBars";"0.0";"16.94";"2.07";"2.07"
"Strategy 2.2.120";"";"3";"1445";"1.42";"38064.66";"3000.41";"12.69";"26.34";"0.86";"327";"";"";"High";"ExitAfterXBars";"0.0";"19.06";"1.05";"1.05"
"Strategy 2.4.127";"";"4";"1351";"1.41";"35344.88";"2729.49";"12.95";"26.16";"0.85";"263";"";"";"High";"ExitAfterXBars";"0.0";"18.29";"0.98";"0.98"
"Strategy 2.4.151";"";"4";"1493";"1.42";"39302.06";"2826.17";"13.91";"26.32";"0.91";"490";"";"";"High";"ExitAfterXBars";"0.0";"19.39";"1.03";"1.03"
"Strategy 2.4.180";"";"3";"1078";"1.42";"30429.58";"2463.91";"12.35";"28.23";"0.79";"414";"";"";"Close";"ExitAfterXBars";"0.0";"16.79";"0.88";"0.88"
"Strategy 2.5.120";"";"5";"1863";"1.34";"39353.49";"2998.46";"13.12";"21.12";"0.85";"493";"";"";"High";"ExitAfterXBars";"0.0";"19.41";"1.03";"1.03"
"Strategy 2.5.168";"";"4";"1920";"1.34";"40198.69";"3046.66";"13.19";"20.94";"0.9";"530";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.63";"0.89";"0.89"
"Strategy 2.6.102";"";"4";"1440";"1.43";"39278.04";"3003.31";"13.08";"27.28";"0.89";"245";"";"";"High";"ExitAfterXBars";"0.0";"19.39";"1.05";"1.05"
"Strategy 2.6.105";"";"5";"1235";"1.41";"32190.25";"2665.04";"12.08";"26.07";"0.9";"432";"";"";"Close,High";"ExitAfterXBars";"0.0";"17.35";"0.98";"0.98"
"Strategy 2.6.130";"";"5";"1763";"1.41";"42073.44";"3017.75";"13.94";"23.86";"0.91";"552";"";"";"QQE";"ExitAfterXBars";"0.0";"20.12";"1.12";"1.12"
"Strategy 2.6.165";"";"5";"995";"1.5";"32733.68";"2463.91";"13.29";"32.9";"0.87";"348";"";"";"High";"ExitAfterXBars";"0.0";"17.51";"0.91";"0.91"
"Strategy 4.6.110";"";"3";"1138";"1.43";"32676.17";"2524.11";"12.95";"28.71";"0.87";"437";"";"";"High";"ExitAfterXBars";"0.0";"17.5";"0.85";"0.85"
"Strategy 2.7.107";"";"6";"1289";"1.41";"34799.57";"2693.13";"12.92";"27.0";"0.9";"490";"";"";"Close,High";"ExitAfterXBars";"0.0";"18.13";"0.9";"0.9"
"Strategy 2.7.144";"";"4";"1982";"1.35";"42287.0";"3245.99";"13.03";"21.34";"0.89";"524";"";"";"Close,High";"ExitAfterXBars";"0.0";"20.18";"0.84";"0.84"
"Strategy 2.7.154";"";"3";"1161";"1.46";"34898.45";"2820.32";"12.37";"30.06";"0.89";"574";"";"";"High";"ExitAfterXBars";"0.0";"18.16";"1.02";"1.02"
"Strategy 2.7.161(1)";"";"5";"1573";"1.43";"40858.28";"2937.44";"13.91";"25.97";"0.9";"490";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"19.81";"1.09";"1.09"
"Strategy 2.7.166";"";"4";"1320";"1.38";"33595.31";"2670.29";"12.58";"25.45";"0.87";"503";"";"";"Close,High";"ExitAfterXBars";"0.0";"17.77";"0.84";"0.84"
"Strategy 2.8.103";"";"4";"1509";"1.37";"36581.77";"2919.99";"12.53";"24.24";"0.89";"397";"";"";"Close,High";"ExitAfterXBars";"0.0";"18.64";"0.92";"0.92"
"Strategy 2.8.115";"";"4";"1404";"1.43";"37720.99";"2930.92";"12.87";"26.87";"0.89";"313";"";"";"High";"ExitAfterXBars";"0.0";"18.96";"1.01";"1.01"
"Strategy 2.8.120";"";"5";"1950";"1.34";"40808.91";"3269.27";"12.48";"20.93";"0.88";"495";"";"";"High";"ExitAfterXBars";"0.0";"19.79";"0.92";"0.92"
"Strategy 2.8.136";"";"4";"1482";"1.46";"41834.75";"3408.74";"12.27";"28.23";"0.9";"335";"";"";"High";"ExitAfterXBars";"0.0";"20.06";"1.09";"1.09"
"Strategy 2.8.183";"";"3";"999";"1.52";"33366.21";"2463.91";"13.54";"33.4";"0.87";"377";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"17.7";"0.81";"0.81"
"Strategy 3.5.106";"";"7";"1143";"1.53";"38120.97";"2463.91";"15.47";"33.35";"0.9";"243";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.07";"0.89";"0.89"
"Strategy 3.5.115";"";"7";"859";"1.63";"33623.38";"2463.91";"13.65";"39.14";"0.89";"459";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.78";"1.22";"1.22"
"Strategy 3.5.119";"";"5";"860";"1.64";"34820.27";"2463.91";"14.13";"40.49";"0.9";"452";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.14";"1.11";"1.11"
"Strategy 3.5.145";"";"5";"792";"1.65";"31457.86";"2463.91";"12.77";"39.72";"0.83";"503";"";"";"HighD";"ExitAfterXBars";"0.0";"17.12";"1.21";"1.21"
"Strategy 4.8.145";"";"3";"2109";"1.33";"41989.36";"3067.55";"13.69";"19.91";"0.88";"586";"";"";"High";"ExitAfterXBars";"0.0";"20.1";"0.88";"0.88"
"Strategy 4.8.151";"";"4";"1671";"1.4";"39426.36";"2655.42";"14.85";"23.59";"0.88";"465";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"19.43";"1.0";"1.0"
"Strategy 2.9.116";"";"4";"1075";"1.48";"34467.33";"2463.91";"13.99";"32.06";"0.89";"436";"";"";"High";"ExitAfterXBars";"0.0";"18.03";"0.93";"0.93"
"Strategy 2.9.128";"";"7";"1438";"1.46";"41161.16";"3082.86";"13.35";"28.62";"0.89";"246";"";"";"High,QQE";"ExitAfterXBars";"0.0";"19.89";"1.04";"1.04"
"Strategy 2.9.135";"";"4";"1272";"1.49";"38109.7";"3132.64";"12.17";"29.96";"0.9";"392";"";"";"High";"ExitAfterXBars";"0.0";"19.07";"1.26";"1.26"
"Strategy 2.9.155";"";"4";"1481";"1.39";"36989.28";"2679.64";"13.8";"24.98";"0.89";"316";"";"";"HeikenAshiLow,High,HighD";"ExitAfterXBars";"0.0";"18.76";"1.02";"1.02"
"Strategy 2.9.150";"";"4";"1509";"1.37";"36652.2";"2919.99";"12.55";"24.29";"0.89";"397";"";"";"Close,High";"ExitAfterXBars";"0.0";"18.66";"0.92";"0.92"
"Strategy 1.4.154";"";"6";"2358";"1.32";"43552.74";"2982.87";"14.6";"18.47";"0.89";"558";"";"";"KeltnerChannel";"ExitAfterXBars";"0.0";"20.5";"1.07";"1.07"
"Strategy 4.9.133";"";"4";"1154";"1.43";"33039.68";"2736.55";"12.07";"28.63";"0.88";"437";"";"";"High";"ExitAfterXBars";"0.0";"17.61";"0.86";"0.86"
"Strategy 4.9.128";"";"3";"1282";"1.37";"32120.52";"2463.91";"13.04";"25.06";"0.89";"490";"";"";"HeikenAshiLow";"ExitAfterXBars";"0.0";"17.32";"0.82";"0.82"
"Strategy 4.9.165";"";"4";"1747";"1.35";"38462.55";"2764.99";"13.91";"22.02";"0.9";"470";"";"";"Close";"ExitAfterXBars";"0.0";"19.17";"0.89";"0.89"
"Strategy 2.10.101";"";"7";"790";"1.58";"29977.74";"2463.91";"12.17";"37.95";"0.84";"800";"";"";"High,QQE";"ExitAfterXBars";"0.0";"16.65";"0.91";"0.91"
"Strategy 2.10.102";"";"6";"1465";"1.45";"40275.98";"2797.41";"14.4";"27.49";"0.9";"461";"";"";"High";"ExitAfterXBars";"0.0";"19.65";"1.01";"1.01"
"Strategy 2.10.132(1)";"";"7";"1438";"1.45";"40965.52";"3009.84";"13.61";"28.49";"0.88";"246";"";"";"High,QQE";"ExitAfterXBars";"0.0";"19.84";"1.03";"1.03"
"Strategy 2.10.137(1)";"";"4";"1030";"1.49";"33556.18";"2463.91";"13.62";"32.58";"0.89";"341";"";"";"High";"ExitAfterXBars";"0.0";"17.76";"0.86";"0.86"
"Strategy 2.10.142";"";"4";"1652";"1.34";"35258.83";"2897.82";"12.17";"21.34";"0.89";"490";"";"";"High";"ExitAfterXBars";"0.0";"18.26";"0.94";"0.94"
"Strategy 2.10.143";"";"3";"1299";"1.47";"37292.57";"2463.91";"15.14";"28.71";"0.89";"330";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.84";"0.96";"0.96"
"Strategy 2.10.151";"";"7";"1542";"1.39";"37653.09";"3077.73";"12.23";"24.42";"0.91";"555";"";"";"High,QQE";"ExitAfterXBars";"0.0";"18.94";"1.05";"1.05"
"Strategy 2.10.153";"";"4";"1442";"1.48";"42383.66";"2568.86";"16.5";"29.39";"0.91";"358";"";"";"High";"ExitAfterXBars";"0.0";"20.2";"1.1";"1.1"
"Strategy 2.10.150";"";"5";"1103";"1.5";"35766.91";"2463.91";"14.52";"32.43";"0.89";"263";"";"";"High";"ExitAfterXBars";"0.0";"18.41";"0.96";"0.96"
"Strategy 2.10.154";"";"4";"1305";"1.43";"35629.46";"2820.28";"12.63";"27.3";"0.89";"722";"";"";"High";"ExitAfterXBars";"0.0";"18.37";"1.12";"1.12"
"Strategy 2.10.174";"";"4";"1053";"1.54";"34438.47";"2463.91";"13.98";"32.71";"0.87";"473";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.02";"1.2";"1.2"
"Strategy 2.10.180";"";"4";"1120";"1.53";"37206.76";"2963.84";"12.55";"33.22";"0.89";"438";"";"";"High";"ExitAfterXBars";"0.0";"18.82";"1.24";"1.24"
"Strategy 2.10.181";"";"7";"1311";"1.37";"32766.78";"2463.91";"13.3";"24.99";"0.87";"336";"";"";"Close";"ExitAfterXBars";"0.0";"17.52";"0.87";"0.87"
"Strategy 1.5.138";"";"6";"980";"1.48";"30941.24";"2463.91";"12.56";"31.57";"0.83";"490";"";"";"TEMA";"ExitAfterXBars";"0.0";"16.95";"0.83";"0.83"
"Strategy 1.5.164";"";"6";"2190";"1.34";"44274.26";"3060.39";"14.47";"20.22";"0.89";"554";"";"";"KeltnerChannel";"ExitAfterXBars";"0.0";"20.68";"1.07";"1.07"
"Strategy 1.5.166";"";"6";"2260";"1.31";"41190.05";"3225.62";"12.77";"18.23";"0.88";"568";"";"";"KeltnerChannel";"ExitAfterXBars";"0.0";"19.89";"1.01";"1.01"
"Strategy 4.10.140";"";"4";"1164";"1.4";"31079.74";"2463.91";"12.61";"26.7";"0.82";"503";"";"";"Close";"ExitAfterXBars";"0.0";"17.0";"0.83";"0.83"
"Strategy 4.10.159";"";"4";"1443";"1.56";"44918.4";"2650.79";"16.95";"31.13";"0.9";"545";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"20.83";"1.17";"1.17"
"Strategy 4.10.161(1)";"";"4";"1305";"1.41";"33733.39";"2757.52";"12.23";"25.85";"0.88";"437";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"17.82";"0.85";"0.85"
"Strategy 3.7.104";"";"6";"859";"1.64";"34394.05";"2463.91";"13.96";"40.04";"0.89";"459";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.01";"1.38";"1.38"
"Strategy 3.7.127";"";"6";"940";"1.55";"32798.36";"2463.91";"13.31";"34.89";"0.89";"413";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.53";"1.11";"1.11"
"Strategy 3.7.144";"";"5";"795";"1.62";"31680.94";"2463.91";"12.86";"39.85";"0.85";"493";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.19";"1.02";"1.02"
"Strategy 2.11.103";"";"4";"1100";"1.53";"37458.01";"2741.27";"13.66";"34.05";"0.83";"313";"";"";"High";"ExitAfterXBars";"0.0";"18.89";"0.93";"0.93"
"Strategy 2.11.109";"";"6";"1478";"1.45";"41296.33";"3167.12";"13.04";"27.94";"0.9";"272";"";"";"High,QQE";"ExitAfterXBars";"0.0";"19.92";"1.07";"1.07"
"Strategy 2.11.120";"";"8";"1404";"1.37";"31904.62";"2404.09";"13.27";"22.72";"0.86";"309";"";"";"High,MACD";"ExitAfterXBars";"0.0";"17.26";"1.2";"1.2"
"Strategy 2.11.132";"";"5";"1497";"1.41";"37343.96";"2671.51";"13.98";"24.95";"0.89";"371";"";"";"HighD";"ExitAfterXBars";"0.0";"18.86";"1.1";"1.1"
"Strategy 2.11.143";"";"3";"1068";"1.53";"34898.16";"2902.52";"12.02";"32.68";"0.89";"229";"";"";"High";"ExitAfterXBars";"0.0";"18.16";"1.2";"1.2"
"Strategy 2.11.137";"";"3";"1276";"1.43";"34301.14";"2463.91";"13.92";"26.88";"0.88";"514";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"17.98";"0.83";"0.83"
"Strategy 2.11.156";"";"4";"1316";"1.47";"37734.69";"3073.71";"12.28";"28.67";"0.89";"530";"";"";"High,HighestInRange";"ExitAfterXBars";"0.0";"18.97";"1.13";"1.13"
"Strategy 2.11.152";"";"4";"1190";"1.49";"36321.6";"2675.89";"13.57";"30.52";"0.88";"242";"";"";"High";"ExitAfterXBars";"0.0";"18.57";"1.11";"1.11"
"Strategy 2.11.161(1)";"";"3";"1416";"1.37";"34390.65";"2734.39";"12.58";"24.29";"0.88";"313";"";"";"High";"ExitAfterXBars";"0.0";"18.01";"0.96";"0.96"
"Strategy 2.11.164";"";"4";"1203";"1.53";"39547.28";"2765.95";"14.3";"32.87";"0.9";"439";"";"";"High";"ExitAfterXBars";"0.0";"19.46";"1.26";"1.26"
"Strategy 2.11.168";"";"6";"1676";"1.37";"38885.64";"3072.93";"12.65";"23.2";"0.9";"290";"";"";"Close";"ExitAfterXBars";"0.0";"19.28";"0.8";"0.8"
"Strategy 2.11.165";"";"4";"1421";"1.41";"37271.16";"2836.57";"13.14";"26.23";"0.88";"371";"";"";"High";"ExitAfterXBars";"0.0";"18.84";"0.93";"0.93"
"Strategy 2.11.177";"";"5";"1560";"1.38";"37931.78";"2463.91";"15.39";"24.32";"0.91";"490";"";"";"High";"ExitAfterXBars";"0.0";"19.02";"0.99";"0.99"
"Strategy 2.11.178";"";"6";"1650";"1.34";"35377.59";"2897.82";"12.21";"21.44";"0.89";"490";"";"";"High,QQE";"ExitAfterXBars";"0.0";"18.3";"0.94";"0.94"
"Strategy 1.6.110";"";"6";"2298";"1.32";"43435.09";"3363.82";"12.91";"18.9";"0.89";"503";"";"";"KeltnerChannel";"ExitAfterXBars";"0.0";"20.47";"0.96";"0.96"
"Strategy 1.6.111";"";"6";"2190";"1.33";"42717.32";"3321.17";"12.86";"19.51";"0.89";"554";"";"";"KeltnerChannel";"ExitAfterXBars";"0.0";"20.29";"1.02";"1.02"
"Strategy 1.6.122";"";"6";"1994";"1.34";"40875.97";"2963.84";"13.79";"20.5";"0.87";"400";"";"";"KeltnerChannel";"ExitAfterXBars";"0.0";"19.81";"1.06";"1.06"
"Strategy 1.6.126";"";"6";"991";"1.52";"33834.84";"2463.91";"13.73";"34.14";"0.88";"369";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.85";"0.91";"0.91"
"Strategy 1.6.172";"";"6";"980";"1.48";"30943.84";"2463.91";"12.56";"31.58";"0.83";"490";"";"";"TEMA";"ExitAfterXBars";"0.0";"16.96";"0.83";"0.83"
"Strategy 4.11.109";"";"5";"1183";"1.48";"34714.71";"2463.91";"14.09";"29.34";"0.87";"490";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.11";"0.97";"0.97"
"Strategy 4.11.120(1)";"";"5";"1301";"1.48";"37589.08";"2464.96";"15.25";"28.89";"0.94";"186";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.93";"1.16";"1.16"
"Strategy 4.11.115";"";"4";"956";"1.57";"34694.53";"2720.66";"12.75";"36.29";"0.89";"429";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.1";"0.85";"0.85"
"Strategy 4.11.173";"";"6";"811";"1.65";"34327.29";"2463.91";"13.93";"42.33";"0.84";"316";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.99";"0.95";"0.95"
"Strategy 2.12.147";"";"4";"1505";"1.4";"36310.68";"2947.89";"12.32";"24.13";"0.91";"503";"";"";"High";"ExitAfterXBars";"0.0";"18.57";"1.25";"1.25"
"Strategy 2.12.155";"";"5";"1454";"1.42";"38511.03";"2766.0";"13.92";"26.49";"0.91";"490";"";"";"High";"ExitAfterXBars";"0.0";"19.18";"1.0";"1.0"
"Strategy 2.12.156";"";"6";"1597";"1.42";"41054.2";"2464.33";"16.66";"25.71";"0.9";"272";"";"";"High,QQE";"ExitAfterXBars";"0.0";"19.86";"1.09";"1.09"
"Strategy 2.12.166";"";"6";"1470";"1.41";"38575.06";"2605.38";"14.81";"26.24";"0.86";"276";"";"";"Close,QQE";"ExitAfterXBars";"0.0";"19.2";"0.96";"0.96"
