"Strategy Name";"Filters result";"Complexity";"# of trades";"Net profit";"Ret/DD Ratio";"Avg. Trade";"Drawdown";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"Stagnation (MC retest, Conf. level 95%)";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 2.22.52(1)";"PASSED";"8";"177";"787.0";"0.91";"4.45";"864.0";"0.63";"110";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"7.87";"N/A";"1.05";"1.05"
"Strategy 4.32.46";"PASSED";"8";"186";"265.0";"0.15";"1.42";"1745.0";"0.38";"117";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"2.65";"N/A";"0.18";"0.18"
"Strategy 3.8.47(1)";"PASSED";"7";"62";"660.0";"1.46";"10.65";"451.0";"0.47";"193";"";"BiggestRange,OpenD";"HullMovingAverage";"ExitAfterXBars";"0.0";"6.6";"N/A";"1.6";"1.6"
"Strategy 2.5.32";"FAILED";"7";"167";"-695.0";"-0.36";"-4.16";"1945.0";"-0.39";"174";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-6.95";"N/A";"-0.4";"-0.4"
"Strategy 1.6.34(1)";"FAILED";"7";"87";"-116.0";"-0.11";"-1.33";"1082.0";"-0.58";"252";"";"BBWidthRatio,HighestInRange";"TEMA";"ExitAfterXBars";"0.0";"-1.16";"N/A";"-0.12";"-0.12"
"Strategy 1.11.41";"FAILED";"11";"137";"-940.0";"-0.68";"-6.86";"1384.0";"-0.65";"142";"";"CloseD,TrueRange";"OSMA";"ExitAfterXBars";"0.0";"-9.4";"N/A";"-0.71";"-0.71"
"Strategy 1.7.32(1)";"FAILED";"7";"124";"-427.0";"-0.25";"-3.44";"1707.0";"-0.45";"174";"";"HullMovingAverage";"LinearRegression,Low";"ExitAfterXBars";"0.0";"-4.27";"N/A";"-0.28";"-0.28"
"Strategy 2.5.35(1)";"FAILED";"8";"194";"-307.0";"-0.15";"-1.58";"2081.0";"-0.71";"268";"";"HullMovingAverage,MTATR";"HeikenAshiClose,Lowest";"ExitAfterXBars";"0.0";"-3.07";"N/A";"-0.17";"-0.17"
"Strategy 2.5.35";"FAILED";"8";"124";"-668.0";"-0.37";"-5.39";"1800.0";"-0.57";"183";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-6.68";"N/A";"-0.41";"-0.41"
"Strategy 2.5.31";"FAILED";"8";"127";"-956.0";"-0.57";"-7.53";"1690.0";"-0.65";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-9.56";"N/A";"-0.61";"-0.61"
"Strategy 2.11.27";"PASSED";"8";"142";"1405.0";"2.62";"9.89";"537.0";"0.68";"78";"";"HullMovingAverage,SmallestRange";"LinearRegression";"ExitAfterXBars";"0.0";"14.05";"N/A";"3.12";"3.12"
"Strategy 5.22.34";"PASSED";"8";"153";"1659.0";"3.02";"10.84";"549.0";"0.67";"110";"";"BBWidthRatio,HullMovingAverage";"LinearRegression";"ExitAfterXBars";"0.0";"16.59";"N/A";"3.68";"3.68"
"Strategy 5.8.28";"PASSED";"7";"104";"1592.0";"2.06";"15.31";"773.0";"0.55";"73";"";"HullMovingAverage,SmallestRange";"LinearRegression,Pivots";"ExitAfterXBars";"0.0";"15.92";"N/A";"2.55";"2.55"
"Strategy 5.1.33(1)";"PASSED";"8";"103";"1288.0";"1.33";"12.5";"965.0";"0.46";"89";"";"HullMovingAverage,SmallestRange";"LinearRegression,Pivots";"ExitAfterXBars";"0.0";"12.88";"N/A";"1.63";"1.63"
"Strategy 2.5.41";"PASSED";"5";"127";"3520.0";"3.41";"27.72";"1033.0";"0.58";"173";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"35.2";"N/A";"4.92";"4.92"
"Strategy 4.9.50(1)";"PASSED";"7";"112";"2258.0";"4.67";"20.16";"483.0";"0.77";"58";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"22.58";"N/A";"5.06";"5.06"
"Strategy 5.8.31";"PASSED";"6";"132";"1273.0";"1.57";"9.64";"810.0";"0.63";"117";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"12.73";"N/A";"1.77";"1.77"
"Strategy 2.5.37";"PASSED";"8";"130";"1402.0";"2.1";"10.78";"667.0";"0.72";"64";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"14.02";"N/A";"2.27";"2.27"
"Strategy 1.13.35(1)";"FAILED";"6";"141";"1001.0";"0.83";"7.1";"1199.0";"0.58";"173";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"10.01";"N/A";"1.02";"1.02"
"Strategy 2.5.33";"PASSED";"6";"116";"2512.0";"2.25";"21.66";"1114.0";"0.53";"125";"";"SessionHigh";"SRPercentRank";"ExitAfterXBars";"0.0";"25.12";"N/A";"3.06";"3.06"
"Strategy 2.11.50";"PASSED";"8";"158";"799.0";"0.95";"5.06";"845.0";"0.56";"110";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"7.99";"N/A";"1.09";"1.09"
"Strategy 2.23.36";"PASSED";"7";"192";"730.0";"0.69";"3.8";"1053.0";"0.59";"109";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"7.3";"N/A";"0.81";"0.81"
"Strategy 2.5.48";"FAILED";"7";"163";"-849.0";"-0.5";"-5.21";"1687.0";"-0.44";"251";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-8.49";"N/A";"-0.55";"-0.55"
"Strategy 3.15.49(1)";"FAILED";"7";"189";"-780.0";"-0.35";"-4.13";"2200.0";"-0.4";"250";"";"HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"-7.8";"N/A";"-0.4";"-0.4"
"Strategy 3.10.50";"FAILED";"8";"124";"-694.0";"-0.43";"-5.6";"1612.0";"-0.59";"183";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-6.94";"N/A";"-0.47";"-0.47"
"Strategy 3.22.36";"FAILED";"7";"125";"-863.0";"-0.46";"-6.9";"1893.0";"-0.73";"245";"";"HullMovingAverage";"Lowest,SessionHigh";"ExitAfterXBars";"0.0";"-8.63";"N/A";"-0.5";"-0.5"
