"Strategy Name";"Filters result";"Complexity";"# of trades";"Net profit";"Ret/DD Ratio";"Avg. Trade";"Drawdown";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"Stagnation (MC retest, Conf. level 95%)";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 2.5.52";"FAILED";"8";"125";"-699.0";"-0.33";"-5.59";"2118.0";"-0.5";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-6.99";"N/A";"-0.38";"-0.38"
"Strategy 4.22.47";"PASSED";"8";"192";"951.0";"0.76";"4.95";"1246.0";"0.49";"69";"";"HullMovingAverage,SmallestRange";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"9.51";"N/A";"0.93";"0.93"
"Strategy 5.10.35";"PASSED";"6";"199";"1951.0";"1.47";"9.8";"1324.0";"0.53";"142";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"19.51";"N/A";"1.95";"1.95"
"Strategy 4.22.44";"FAILED";"8";"152";"-89.0";"-0.1";"-0.59";"871.0";"-0.57";"258";"";"BBWidthRatio,LinearRegression";"LinearRegression";"ExitAfterXBars";"0.0";"-0.89";"N/A";"-0.11";"-0.11"
"Strategy 2.5.45";"FAILED";"8";"125";"-585.0";"-0.31";"-4.68";"1914.0";"-0.51";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-5.85";"N/A";"-0.35";"-0.35"
"Strategy 1.1.41";"PASSED";"8";"132";"1464.0";"2.16";"11.09";"678.0";"0.64";"118";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"14.64";"N/A";"2.29";"2.29"
"Strategy 5.10.32";"FAILED";"8";"127";"-360.0";"-0.26";"-2.83";"1389.0";"-0.66";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-3.6";"N/A";"-0.28";"-0.28"
"Strategy 5.8.49";"FAILED";"8";"125";"-602.0";"-0.31";"-4.82";"1931.0";"-0.52";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-6.02";"N/A";"-0.35";"-0.35"
"Strategy 5.8.50";"PASSED";"8";"129";"2188.0";"3.68";"16.96";"595.0";"0.71";"83";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"21.88";"N/A";"4.47";"4.47"
"Strategy 2.11.42";"PASSED";"6";"146";"2070.0";"1.84";"14.18";"1123.0";"0.48";"174";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"20.7";"N/A";"2.43";"2.43"
"Strategy 4.22.49";"FAILED";"8";"162";"530.0";"0.35";"3.27";"1518.0";"0.47";"245";"";"HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"5.3";"N/A";"0.41";"0.41"
"Strategy 5.32.50";"PASSED";"7";"159";"1976.0";"1.61";"12.43";"1230.0";"0.53";"65";"";"BBWidthRatio,LinearRegression";"LinearRegression";"ExitAfterXBars";"0.0";"19.76";"N/A";"2.12";"2.12"
"Strategy 1.23.37";"FAILED";"8";"151";"2103.0";"7.23";"13.93";"291.0";"0.77";"48";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"21.03";"N/A";"8.18";"8.18"
"Strategy 2.11.48";"FAILED";"9";"130";"-518.0";"-0.4";"-3.98";"1299.0";"-0.56";"190";"";"BBWidthRatio,HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"-5.18";"N/A";"-0.4";"-0.4"
"Strategy 4.10.52";"FAILED";"11";"195";"-413.0";"-0.26";"-2.12";"1586.0";"-0.41";"147";"";"ATR,HullMovingAverage";"Reflex,Stochastic";"ExitAfterXBars";"0.0";"-4.13";"N/A";"-0.29";"-0.29"
"Strategy 1.13.37";"PASSED";"6";"148";"1649.0";"2.77";"11.14";"596.0";"0.72";"60";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"16.49";"N/A";"3.01";"3.01"
"Strategy 4.4.31";"FAILED";"6";"151";"-954.0";"-0.55";"-6.32";"1728.0";"-0.51";"183";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-9.54";"N/A";"-0.59";"-0.59"
"Strategy 1.13.40";"FAILED";"6";"155";"-768.0";"-0.47";"-4.95";"1646.0";"-0.49";"183";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-7.68";"N/A";"-0.51";"-0.51"
"Strategy 5.10.47";"FAILED";"8";"200";"-228.0";"-0.19";"-1.14";"1213.0";"-0.64";"257";"";"BBWidthRatio,HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"-2.28";"N/A";"-0.2";"-0.2"
"Strategy 3.11.45";"FAILED";"7";"175";"-617.0";"-0.29";"-3.53";"2164.0";"-0.49";"163";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-6.17";"N/A";"-0.33";"-0.33"
"Strategy 1.12.36(1)";"PASSED";"8";"189";"578.0";"0.37";"3.06";"1561.0";"0.59";"162";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"5.78";"N/A";"0.45";"0.45"
"Strategy 3.22.45";"PASSED";"6";"168";"1140.0";"1.37";"6.79";"832.0";"0.53";"120";"";"LinearRegression";"LinearRegression";"ExitAfterXBars";"0.0";"11.4";"N/A";"1.63";"1.63"
"Strategy 1.7.31(1)";"PASSED";"7";"173";"138.0";"0.06";"0.8";"2428.0";"0.25";"147";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"1.38";"N/A";"0.07";"0.07"
"Strategy 3.23.27";"PASSED";"8";"121";"240.0";"0.21";"1.98";"1145.0";"0.32";"147";"";"ATR,Open";"LinearRegression,SMA";"ExitAfterXBars";"0.0";"2.4";"N/A";"0.24";"0.24"
"Strategy 3.11.40";"FAILED";"8";"187";"-146.0";"-0.12";"-0.78";"1257.0";"-0.56";"126";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-1.46";"N/A";"-0.13";"-0.13"
"Strategy 1.13.30";"FAILED";"7";"177";"-121.0";"-0.05";"-0.68";"2216.0";"-0.27";"148";"";"HullMovingAverage,SmallestRange";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-1.21";"N/A";"-0.07";"-0.07"
"Strategy 3.11.47";"FAILED";"8";"175";"-387.0";"-0.18";"-2.21";"2147.0";"-0.45";"163";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-3.87";"N/A";"-0.21";"-0.21"
"Strategy 2.17.47";"FAILED";"8";"159";"-336.0";"-0.19";"-2.11";"1814.0";"-0.5";"183";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-3.36";"N/A";"-0.21";"-0.21"
"Strategy 2.29.33";"FAILED";"8";"124";"-208.0";"-0.12";"-1.68";"1789.0";"-0.56";"244";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"-2.08";"N/A";"-0.13";"-0.13"
"Strategy 1.13.35";"FAILED";"8";"127";"-443.0";"-0.27";"-3.49";"1615.0";"-0.7";"245";"";"HullMovingAverage";"BollingerBands,HullMovingAverage";"ExitAfterXBars";"0.0";"-4.43";"N/A";"-0.3";"-0.3"
"Strategy 3.11.44";"PASSED";"8";"205";"749.0";"0.31";"3.65";"2379.0";"0.34";"147";"";"HullMovingAverage,SmallestRange";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"7.49";"N/A";"0.41";"0.41"
"Strategy 5.20.50";"PASSED";"8";"155";"1519.0";"2.13";"9.8";"714.0";"0.62";"110";"";"BBWidthRatio,HullMovingAverage";"LinearRegression";"ExitAfterXBars";"0.0";"15.19";"N/A";"2.6";"2.6"
"Strategy 3.11.42";"PASSED";"12";"80";"380.0";"0.32";"4.75";"1188.0";"0.38";"146";"";"ATR,HullMovingAverage";"GannHiLo,LinearRegression,SMA,SuperTrend";"ExitAfterXBars";"0.0";"3.8";"N/A";"0.37";"0.37"
"Strategy 3.7.28";"PASSED";"7";"169";"1738.0";"1.28";"10.28";"1357.0";"0.51";"161";"";"TEMA";"LowestInRange,MTKeltnerChannel";"ExitAfterXBars";"0.0";"17.38";"N/A";"1.66";"1.66"
"Strategy 1.8.36(1)";"FAILED";"6";"139";"1862.0";"1.89";"13.4";"986.0";"0.71";"56";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"18.62";"N/A";"2.01";"2.01"
"Strategy 5.10.29";"PASSED";"8";"128";"1457.0";"1.93";"11.38";"756.0";"0.69";"122";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"14.57";"N/A";"2.01";"2.01"
"Strategy 1.13.32";"FAILED";"6";"113";"639.0";"0.82";"5.65";"781.0";"0.6";"120";"";"SessionHigh";"SRPercentRank";"ExitAfterXBars";"0.0";"6.39";"N/A";"0.88";"0.88"
"Strategy 1.25.39";"FAILED";"8";"186";"-68.0";"-0.04";"-0.37";"1869.0";"-0.44";"162";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-0.68";"N/A";"-0.04";"-0.04"
"Strategy 3.7.29";"PASSED";"6";"172";"962.0";"0.76";"5.59";"1262.0";"0.47";"147";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"9.62";"N/A";"0.92";"0.92"
"Strategy 2.29.28";"FAILED";"6";"165";"-747.0";"-0.4";"-4.53";"1845.0";"-0.39";"163";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-7.47";"N/A";"-0.45";"-0.45"
"Strategy 3.7.32";"FAILED";"6";"156";"-638.0";"-0.42";"-4.09";"1509.0";"-0.45";"163";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-6.38";"N/A";"-0.46";"-0.46"
"Strategy 1.4.41(1)";"PASSED";"7";"159";"1688.0";"1.88";"10.62";"900.0";"0.7";"64";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"16.88";"N/A";"2.35";"2.35"
"Strategy 3.35.35";"PASSED";"8";"168";"1374.0";"1.47";"8.18";"936.0";"0.66";"170";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"13.74";"N/A";"1.75";"1.75"
"Strategy 2.4.40";"PASSED";"8";"189";"1241.0";"1.07";"6.57";"1160.0";"0.62";"100";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"12.41";"N/A";"1.32";"1.32"
"Strategy 5.19.50";"PASSED";"8";"203";"1311.0";"1.3";"6.46";"1011.0";"0.67";"90";"";"HullMovingAverage,SmallestRange";"KeltnerChannel";"ExitAfterXBars";"0.0";"13.11";"N/A";"1.43";"1.43"
"Strategy 2.4.34";"FAILED";"8";"164";"-252.0";"-0.13";"-1.54";"1905.0";"-0.52";"174";"";"BBWidthRatio,HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"-2.52";"N/A";"-0.15";"-0.15"
"Strategy 2.4.27";"FAILED";"8";"125";"-967.0";"-0.5";"-7.74";"1935.0";"-0.64";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-9.67";"N/A";"-0.55";"-0.55"
"Strategy 4.15.50";"PASSED";"5";"117";"1916.0";"3.18";"16.38";"602.0";"0.78";"85";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"19.16";"N/A";"3.52";"3.52"
"Strategy 4.15.37";"PASSED";"8";"144";"431.0";"0.28";"2.99";"1524.0";"0.25";"162";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"4.31";"N/A";"0.34";"0.34"
"Strategy 2.4.29";"PASSED";"8";"126";"1310.0";"2.47";"10.4";"531.0";"0.65";"118";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"13.1";"N/A";"2.56";"2.56"
"Strategy 5.19.52";"FAILED";"8";"136";"1273.0";"0.8";"9.36";"1595.0";"0.53";"174";"";"HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"12.73";"N/A";"1.03";"1.03"
"Strategy 4.15.38";"PASSED";"8";"192";"1724.0";"2.3";"8.98";"750.0";"0.64";"105";"";"HullMovingAverage,SmallestRange";"KeltnerChannel";"ExitAfterXBars";"0.0";"17.24";"N/A";"2.86";"2.86"
"Strategy 1.35.42";"PASSED";"6";"192";"1298.0";"0.99";"6.76";"1313.0";"0.44";"168";"";"ParabolicSAR";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"12.98";"N/A";"1.2";"1.2"
"Strategy 5.8.50(1)";"PASSED";"8";"132";"1332.0";"1.86";"10.09";"715.0";"0.62";"118";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"13.32";"N/A";"2.17";"2.17"
"Strategy 3.23.35";"FAILED";"8";"172";"79.0";"0.04";"0.46";"2200.0";"0.38";"147";"";"ATR,HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"0.79";"N/A";"0.04";"0.04"
"Strategy 3.7.33";"FAILED";"6";"121";"2498.0";"4.87";"20.64";"513.0";"0.85";"90";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"24.98";"N/A";"5.35";"5.35"
"Strategy 2.15.43(1)";"PASSED";"7";"129";"2637.0";"4.47";"20.44";"590.0";"0.77";"81";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"26.37";"N/A";"5.59";"5.59"
"Strategy 3.11.50";"FAILED";"11";"159";"-631.0";"-0.28";"-3.97";"2275.0";"-0.5";"169";"";"HullMovingAverage";"KeltnerChannel,Reflex,Stochastic";"ExitAfterXBars";"0.0";"-6.31";"N/A";"-0.32";"-0.32"
"Strategy 1.25.28";"FAILED";"10";"104";"-782.0";"-0.54";"-7.52";"1458.0";"-0.56";"244";"";"HullMovingAverage";"Reflex,Stochastic";"ExitAfterXBars";"0.0";"-7.82";"N/A";"-0.57";"-0.57"
"Strategy 2.4.38";"PASSED";"8";"132";"1331.0";"1.86";"10.08";"715.0";"0.62";"118";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"13.31";"N/A";"2.17";"2.17"
"Strategy 5.10.44";"FAILED";"10";"97";"-1387.0";"-0.71";"-14.3";"1953.0";"-0.65";"244";"";"HullMovingAverage";"Reflex,Stochastic";"ExitAfterXBars";"0.0";"-13.87";"N/A";"-0.75";"-0.75"
"Strategy 1.13.47";"PASSED";"5";"179";"1000.0";"0.45";"5.59";"2203.0";"0.46";"148";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"10.0";"N/A";"0.6";"0.6"
"Strategy 4.8.34(1)";"FAILED";"6";"159";"-930.0";"-0.52";"-5.85";"1800.0";"-0.52";"163";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"-9.3";"N/A";"-0.56";"-0.56"
"Strategy 5.20.37";"FAILED";"4";"163";"-1003.0";"-0.47";"-6.15";"2148.0";"-0.43";"163";"";"HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-10.03";"N/A";"-0.52";"-0.52"
"Strategy 3.12.38(1)";"PASSED";"8";"156";"1856.0";"4.87";"11.9";"381.0";"0.54";"58";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"18.56";"N/A";"5.95";"5.95"
"Strategy 2.19.42";"FAILED";"5";"170";"-220.0";"-0.1";"-1.29";"2141.0";"-0.27";"249";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"-2.2";"N/A";"-0.12";"-0.12"
"Strategy 1.13.49";"PASSED";"7";"165";"2056.0";"3.45";"12.46";"596.0";"0.69";"64";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"20.56";"N/A";"4.36";"4.36"
"Strategy 4.15.29";"FAILED";"7";"171";"-217.0";"-0.12";"-1.27";"1814.0";"-0.44";"134";"";"BarRange,HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"-2.17";"N/A";"-0.14";"-0.14"
"Strategy 3.17.29(1)";"PASSED";"8";"168";"1170.0";"1.32";"6.96";"886.0";"0.54";"100";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"11.7";"N/A";"1.57";"1.57"
"Strategy 3.7.28(1)";"PASSED";"8";"161";"1335.0";"1.93";"8.29";"690.0";"0.58";"104";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"13.35";"N/A";"2.21";"2.21"
"Strategy 3.23.51";"PASSED";"6";"204";"1345.0";"0.68";"6.59";"1965.0";"0.49";"147";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"13.45";"N/A";"0.91";"0.91"
"Strategy 2.19.43";"FAILED";"6";"187";"-309.0";"-0.2";"-1.65";"1567.0";"-0.36";"162";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-3.09";"N/A";"-0.22";"-0.22"
"Strategy 4.13.31(1)";"FAILED";"8";"175";"-475.0";"-0.21";"-2.71";"2230.0";"-0.45";"163";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-4.75";"N/A";"-0.25";"-0.25"
"Strategy 4.15.27";"FAILED";"8";"154";"-1260.0";"-0.6";"-8.18";"2084.0";"-0.5";"245";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-12.6";"N/A";"-0.65";"-0.65"
"Strategy 2.29.46";"FAILED";"8";"175";"-642.0";"-0.33";"-3.67";"1946.0";"-0.53";"183";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-6.42";"N/A";"-0.37";"-0.37"
"Strategy 5.11.39(1)";"FAILED";"7";"115";"-991.0";"-0.58";"-8.62";"1717.0";"-0.73";"245";"";"HullMovingAverage";"HullMovingAverage,Open";"ExitAfterXBars";"0.0";"-9.91";"N/A";"-0.62";"-0.62"
"Strategy 5.8.49(1)";"FAILED";"8";"125";"-398.0";"-0.22";"-3.18";"1791.0";"-0.5";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-3.98";"N/A";"-0.25";"-0.25"
"Strategy 2.4.47";"PASSED";"7";"127";"1999.0";"3.26";"15.74";"613.0";"0.75";"81";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"19.99";"N/A";"3.92";"3.92"
"Strategy 2.4.48";"PASSED";"8";"129";"2426.0";"4.2";"18.81";"577.0";"0.75";"82";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"24.26";"N/A";"4.7";"4.7"
"Strategy 1.10.35(1)";"FAILED";"8";"162";"-186.0";"-0.08";"-1.15";"2312.0";"-0.3";"147";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-1.86";"N/A";"-0.1";"-0.1"
"Strategy 2.4.42";"PASSED";"8";"125";"3865.0";"4.37";"30.92";"885.0";"0.58";"173";"";"HighD,SmallestRange";"SRPercentRank";"ExitAfterXBars";"0.0";"38.65";"N/A";"6.41";"6.41"
"Strategy 2.19.41";"PASSED";"7";"207";"988.0";"1.01";"4.77";"978.0";"0.51";"147";"";"ATR,HullMovingAverage";"HullMovingAverage,Low";"ExitAfterXBars";"0.0";"9.88";"N/A";"1.2";"1.2"
"Strategy 5.19.41";"PASSED";"8";"144";"1464.0";"1.57";"10.17";"935.0";"0.62";"69";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"14.64";"N/A";"1.92";"1.92"
"Strategy 2.19.28";"PASSED";"7";"212";"1614.0";"1.86";"7.61";"867.0";"0.73";"106";"";"BarRange,HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"16.14";"N/A";"2.27";"2.27"
"Strategy 3.13.33";"PASSED";"8";"152";"1685.0";"3.03";"11.09";"557.0";"0.69";"110";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"16.85";"N/A";"3.64";"3.64"
"Strategy 3.13.30";"PASSED";"8";"192";"2031.0";"1.36";"10.58";"1497.0";"0.48";"110";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"20.31";"N/A";"1.82";"1.82"
"Strategy 2.2.34";"PASSED";"8";"126";"3237.0";"2.92";"25.69";"1108.0";"0.57";"173";"";"HighD,SmallestRange";"SRPercentRank";"ExitAfterXBars";"0.0";"32.37";"N/A";"4.16";"4.16"
"Strategy 5.19.30";"FAILED";"6";"145";"3132.0";"10.27";"21.6";"305.0";"0.81";"47";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"31.32";"N/A";"11.91";"11.91"
"Strategy 1.15.43";"PASSED";"7";"139";"784.0";"1.04";"5.64";"751.0";"0.67";"110";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"7.84";"N/A";"1.18";"1.18"
"Strategy 3.13.34";"FAILED";"8";"130";"-621.0";"-0.35";"-4.78";"1791.0";"-0.57";"162";"";"HullMovingAverage";"BollingerBands,HullMovingAverage";"ExitAfterXBars";"0.0";"-6.21";"N/A";"-0.38";"-0.38"
"Strategy 4.30.35";"PASSED";"7";"151";"99.0";"0.06";"0.66";"1565.0";"0.28";"147";"";"ATR,Open";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"0.99";"N/A";"0.07";"0.07"
"Strategy 2.4.34(1)";"FAILED";"7";"122";"-339.0";"-0.2";"-2.78";"1656.0";"-0.43";"174";"";"HullMovingAverage";"HullMovingAverage,Open";"ExitAfterXBars";"0.0";"-3.39";"N/A";"-0.23";"-0.23"
"Strategy 3.17.29(2)";"FAILED";"7";"128";"-832.0";"-0.38";"-6.5";"2200.0";"-0.53";"245";"";"HullMovingAverage";"HullMovingAverage,LinearRegression";"ExitAfterXBars";"0.0";"-8.32";"N/A";"-0.43";"-0.43"
"Strategy 1.13.43";"FAILED";"8";"146";"-405.0";"-0.17";"-2.77";"2419.0";"-0.4";"245";"";"HullMovingAverage";"KeltnerChannel,SRPercentRank";"ExitAfterXBars";"0.0";"-4.05";"N/A";"-0.2";"-0.2"
"Strategy 4.29.49";"FAILED";"6";"109";"-473.0";"-0.29";"-4.34";"1607.0";"-0.67";"244";"";"HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-4.73";"N/A";"-0.32";"-0.32"
"Strategy 3.13.42";"FAILED";"6";"96";"-1266.0";"-0.58";"-13.19";"2185.0";"-0.72";"245";"";"HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-12.66";"N/A";"-0.63";"-0.63"
"Strategy 3.13.49";"PASSED";"5";"217";"1535.0";"1.16";"7.07";"1329.0";"0.49";"147";"";"LowestInRange";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"15.35";"N/A";"1.49";"1.49"
"Strategy 4.30.36";"FAILED";"6";"94";"-931.0";"-0.5";"-9.9";"1879.0";"-0.73";"244";"";"HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-9.31";"N/A";"-0.54";"-0.54"
"Strategy 1.25.49";"FAILED";"5";"224";"-221.0";"-0.21";"-0.99";"1069.0";"-0.56";"184";"";"LowestInRange";"LowW,SMA";"ExitAfterXBars";"0.0";"-2.21";"N/A";"-0.22";"-0.22"
"Strategy 2.30.51";"FAILED";"7";"120";"-303.0";"-0.24";"-2.53";"1288.0";"-0.71";"244";"";"HullMovingAverage";"HullMovingAverage,LowestInRange";"ExitAfterXBars";"0.0";"-3.03";"N/A";"-0.25";"-0.25"
"Strategy 2.2.46";"PASSED";"8";"107";"961.0";"1.65";"8.98";"583.0";"0.74";"70";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"9.61";"N/A";"1.78";"1.78"
"Strategy 5.15.49(1)";"FAILED";"6";"158";"2013.0";"1.08";"12.74";"1870.0";"0.5";"120";"";"HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"20.13";"N/A";"1.32";"1.32"
"Strategy 4.29.46";"FAILED";"7";"168";"713.0";"0.48";"4.24";"1484.0";"0.53";"181";"";"HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"7.13";"N/A";"0.54";"0.54"
"Strategy 1.15.42";"FAILED";"9";"134";"1540.0";"1.35";"11.49";"1144.0";"0.63";"121";"";"ATR,HullMovingAverage";"SRPercentRank";"ExitAfterXBars";"0.0";"15.4";"N/A";"1.52";"1.52"
"Strategy 3.7.35";"PASSED";"8";"151";"2996.0";"4.04";"19.84";"741.0";"0.74";"51";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"29.96";"N/A";"4.43";"4.43"
"Strategy 3.13.31";"FAILED";"10";"169";"-431.0";"-0.22";"-2.55";"2001.0";"-0.44";"163";"";"HullMovingAverage";"KeltnerChannel,Reflex,Stochastic";"ExitAfterXBars";"0.0";"-4.31";"N/A";"-0.25";"-0.25"
"Strategy 3.13.29";"FAILED";"8";"126";"91.0";"0.08";"0.72";"1161.0";"0.55";"174";"";"HullMovingAverage";"Aroon,DeMarker";"ExitAfterXBars";"0.0";"0.91";"N/A";"0.09";"0.09"
"Strategy 1.25.53";"PASSED";"8";"138";"388.0";"0.69";"2.81";"559.0";"0.62";"148";"";"ATR,HullMovingAverage";"LinearRegression";"ExitAfterXBars";"0.0";"3.88";"N/A";"0.76";"0.76"
"Strategy 1.15.35";"PASSED";"8";"171";"2598.0";"3.01";"15.19";"862.0";"0.66";"70";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"25.98";"N/A";"4.0";"4.0"
"Strategy 1.15.32";"PASSED";"7";"173";"325.0";"0.19";"1.88";"1670.0";"0.58";"162";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"3.25";"N/A";"0.23";"0.23"
"Strategy 3.25.29";"FAILED";"11";"131";"-1781.0";"-0.78";"-13.6";"2295.0";"-0.67";"258";"";"CloseD,TrueRange";"OSMA";"ExitAfterXBars";"0.0";"-17.81";"N/A";"-0.82";"-0.82"
"Strategy 1.15.36";"FAILED";"7";"169";"-1984.0";"-0.75";"-11.74";"2642.0";"-0.61";"251";"";"HullMovingAverage,SmallestRange";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-19.84";"N/A";"-0.8";"-0.8"
"Strategy 3.13.45";"FAILED";"7";"127";"-117.0";"-0.1";"-0.92";"1174.0";"-0.69";"182";"";"HullMovingAverage";"BollingerBands,Open";"ExitAfterXBars";"0.0";"-1.17";"N/A";"-0.11";"-0.11"
"Strategy 3.7.43";"PASSED";"8";"202";"2049.0";"1.55";"10.14";"1319.0";"0.52";"109";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"20.49";"N/A";"2.07";"2.07"
"Strategy 3.25.40";"FAILED";"6";"180";"-109.0";"-0.07";"-0.61";"1525.0";"-0.56";"263";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"-1.09";"N/A";"-0.08";"-0.08"
